filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,estimated_bpm_per_window_x,estimated_bpm_per_window_y,bpm_avg_x,bpm_avg_y,bpm_avg_xy,bpm_mode_x,bpm_mode_y,bpm_mode_xy,bpm_median_x,bpm_median_y,bpm_median_xy
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,[115. 112.],[139. 126.],113.5,132.5,123.0,112.0,126.0,112.0,113.5,132.5,120.5
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,[99. 71.],[125. 135.],85.0,130.0,107.5,71.0,125.0,71.0,85.0,130.0,112.0
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,[127. 101.],[131. 102.],114.0,116.5,115.25,101.0,102.0,101.0,114.0,116.5,114.5
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,[101. 121.],[132. 124.],111.0,128.0,119.5,101.0,124.0,101.0,111.0,128.0,122.5
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,[123. 109.],[110. 129.],116.0,119.5,117.75,109.0,110.0,109.0,116.0,119.5,116.5
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,[121. 144.],[ 78. 144.],132.5,111.0,121.75,121.0,78.0,144.0,132.5,111.0,132.5
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,[130. 120. 101. 117.  70. 110.  88. 116.],[138.  84. 117. 102. 144. 142. 135. 114.],106.5,122.0,114.25,70.0,84.0,117.0,113.0,126.0,116.5
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,[ 70. 117.],[122. 130.],93.5,126.0,109.75,70.0,122.0,70.0,93.5,126.0,119.5
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,[144.  70. 144.],[ 97. 109.  96.],119.33,100.67,110.0,144.0,96.0,144.0,144.0,97.0,103.0
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,[126.  88. 118.],[136. 120. 141.],110.67,132.33,121.5,88.0,120.0,88.0,118.0,136.0,123.0
gHO_sBM_cAll_d20_mHO0_ch01,gHO,sBM,cAll,d20,mHO0,ch01,110,[ 77. 142.],[95. 82.],109.5,88.5,99.0,77.0,82.0,77.0,109.5,88.5,88.5
gLO_sBM_cAll_d13_mLO1_ch02,gLO,sBM,cAll,d13,mLO1,ch02,90,[144. 110.],[105. 138.],127.0,121.5,124.25,110.0,105.0,105.0,127.0,121.5,124.0
gPO_sBM_cAll_d12_mPO5_ch08,gPO,sBM,cAll,d12,mPO5,ch08,130,[ 70. 144.],[137.  75.],107.0,106.0,106.5,70.0,75.0,70.0,107.0,106.0,106.0
gKR_sBM_cAll_d30_mKR5_ch08,gKR,sBM,cAll,d30,mKR5,ch08,130,[ 78. 136.],[128. 127.],107.0,127.5,117.25,78.0,127.0,78.0,107.0,127.5,127.5
gBR_sBM_cAll_d06_mBR5_ch04,gBR,sBM,cAll,d06,mBR5,ch04,130,[ 76. 129.],[91. 77.],102.5,84.0,93.25,76.0,77.0,76.0,102.5,84.0,84.0
gJS_sBM_cAll_d01_mJS2_ch03,gJS,sBM,cAll,d01,mJS2,ch03,100,[114. 102.],[144. 132.],108.0,138.0,123.0,102.0,132.0,102.0,108.0,138.0,123.0
gBR_sBM_cAll_d04_mBR1_ch03,gBR,sBM,cAll,d04,mBR1,ch03,90,[132. 136.],[79. 89.],134.0,84.0,109.0,132.0,79.0,79.0,134.0,84.0,110.5
gJS_sBM_cAll_d02_mJS0_ch10,gJS,sBM,cAll,d02,mJS0,ch10,80,[144.  81. 139.],[144. 117.  95.],121.33,118.67,120.0,81.0,95.0,144.0,139.0,117.0,128.0
gLO_sBM_cAll_d15_mLO4_ch01,gLO,sBM,cAll,d15,mLO4,ch01,120,[144.  81.],[104. 129.],112.5,116.5,114.5,81.0,104.0,81.0,112.5,116.5,116.5
gPO_sBM_cAll_d10_mPO1_ch02,gPO,sBM,cAll,d10,mPO1,ch02,90,[130.  99.],[144. 104.],114.5,124.0,119.25,99.0,104.0,99.0,114.5,124.0,117.0
gJS_sBM_cAll_d02_mJS4_ch08,gJS,sBM,cAll,d02,mJS4,ch08,120,[122. 125.],[144. 143.],123.5,143.5,133.5,122.0,143.0,122.0,123.5,143.5,134.0
gBR_sBM_cAll_d05_mBR4_ch06,gBR,sBM,cAll,d05,mBR4,ch06,120,[122. 122.],[130.  98.],122.0,114.0,118.0,122.0,98.0,122.0,122.0,114.0,122.0
gJS_sBM_cAll_d02_mJS5_ch03,gJS,sBM,cAll,d02,mJS5,ch03,130,[135. 144.],[136. 138.],139.5,137.0,138.25,135.0,136.0,135.0,139.5,137.0,137.0
gBR_sBM_cAll_d06_mBR3_ch06,gBR,sBM,cAll,d06,mBR3,ch06,110,[112. 109.],[73. 83.],110.5,78.0,94.25,109.0,73.0,73.0,110.5,78.0,96.0
gBR_sBM_cAll_d04_mBR2_ch07,gBR,sBM,cAll,d04,mBR2,ch07,100,[100.  76.],[ 85. 129.],88.0,107.0,97.5,76.0,85.0,76.0,88.0,107.0,92.5
gPO_sBM_cAll_d11_mPO1_ch01,gPO,sBM,cAll,d11,mPO1,ch01,90,[ 84. 135.],[132. 103.],109.5,117.5,113.5,84.0,103.0,84.0,109.5,117.5,117.5
gBR_sBM_cAll_d04_mBR0_ch05,gBR,sBM,cAll,d04,mBR0,ch05,80,[144.  77. 136.],[ 97. 144.  83.],119.0,108.0,113.5,77.0,83.0,144.0,136.0,97.0,116.5
gKR_sBM_cAll_d30_mKR5_ch01,gKR,sBM,cAll,d30,mKR5,ch01,130,[131. 131.],[124. 139.],131.0,131.5,131.25,131.0,124.0,131.0,131.0,131.5,131.0
gMH_sBM_cAll_d22_mMH1_ch06,gMH,sBM,cAll,d22,mMH1,ch06,90,[126. 138.],[103.  94.],132.0,98.5,115.25,126.0,94.0,94.0,132.0,98.5,114.5
gJS_sBM_cAll_d03_mJS3_ch09,gJS,sBM,cAll,d03,mJS3,ch09,110,[111. 124.],[ 93. 124.],117.5,108.5,113.0,111.0,93.0,124.0,117.5,108.5,117.5
gHO_sBM_cAll_d21_mHO2_ch08,gHO,sBM,cAll,d21,mHO2,ch08,120,[ 89. 144.],[144. 124.],116.5,134.0,125.25,89.0,124.0,144.0,116.5,134.0,134.0
gJB_sFM_cAll_d09_mJB0_ch15,gJB,sFM,cAll,d09,mJB0,ch15,80,[144.  70. 141. 140. 139.  90. 120. 116.],[112. 134. 111. 113. 135. 127. 134. 144.],120.0,126.25,123.125,70.0,134.0,134.0,129.5,130.5,130.5
gLO_sBM_cAll_d15_mLO4_ch09,gLO,sBM,cAll,d15,mLO4,ch09,120,[120. 122.],[144. 144.],121.0,144.0,132.5,120.0,144.0,144.0,121.0,144.0,133.0
gWA_sFM_cAll_d25_mWA0_ch01,gWA,sFM,cAll,d25,mWA0,ch01,80,[134.  79. 144. 129. 119. 139. 126. 138.],[116.  94. 131.  77.  70. 101. 133. 106.],126.0,103.5,114.75,79.0,70.0,70.0,131.5,103.5,122.5
gWA_sBM_cAll_d27_mWA5_ch01,gWA,sBM,cAll,d27,mWA5,ch01,130,[116. 116.],[140. 144.],116.0,142.0,129.0,116.0,140.0,116.0,116.0,142.0,128.0
gWA_sBM_cAll_d25_mWA0_ch03,gWA,sBM,cAll,d25,mWA0,ch03,80,[144.  71. 132.],[139. 141. 131.],115.67,137.0,126.33333333333333,71.0,131.0,71.0,132.0,139.0,135.5
gLH_sFM_cAll_d16_mLH5_ch06,gLH,sFM,cAll,d16,mLH5,ch06,130,[121.  70. 133. 135. 128.],[142.  70.  93. 124.  71.],117.4,100.0,108.7,70.0,70.0,70.0,128.0,93.0,122.5
gBR_sBM_cAll_d04_mBR1_ch06,gBR,sBM,cAll,d04,mBR1,ch06,90,[144. 137.],[144. 133.],140.5,138.5,139.5,137.0,133.0,144.0,140.5,138.5,140.5
gLH_sBM_cAll_d16_mLH0_ch03,gLH,sBM,cAll,d16,mLH0,ch03,80,[ 74.  97. 130.],[134. 144.  80.],100.33,119.33,109.83333333333333,74.0,80.0,74.0,97.0,134.0,113.5
gMH_sBM_cAll_d23_mMH5_ch10,gMH,sBM,cAll,d23,mMH5,ch10,130,[112. 118.],[142. 144.],115.0,143.0,129.0,112.0,142.0,112.0,115.0,143.0,130.0
gKR_sFM_cAll_d28_mKR2_ch03,gKR,sFM,cAll,d28,mKR2,ch03,100,[144. 127.  99. 124.  92.  73. 119.],[ 70. 136. 117. 134. 102.  71. 121.],111.14,107.29,109.21428571428571,73.0,70.0,70.0,119.0,117.0,118.0
gPO_sBM_cAll_d10_mPO2_ch05,gPO,sBM,cAll,d10,mPO2,ch05,100,[144. 100.],[108. 144.],122.0,126.0,124.0,100.0,108.0,144.0,122.0,126.0,126.0
gWA_sBM_cAll_d26_mWA5_ch01,gWA,sBM,cAll,d26,mWA5,ch01,130,[144. 100.],[ 86. 144.],122.0,115.0,118.5,100.0,86.0,144.0,122.0,115.0,122.0
gLO_sBM_cAll_d14_mLO4_ch10,gLO,sBM,cAll,d14,mLO4,ch10,120,[115. 144.],[123. 102.],129.5,112.5,121.0,115.0,102.0,102.0,129.5,112.5,119.0
gLH_sBM_cAll_d18_mLH3_ch03,gLH,sBM,cAll,d18,mLH3,ch03,110,[144. 121.],[144. 134.],132.5,139.0,135.75,121.0,134.0,144.0,132.5,139.0,139.0
gJS_sBM_cAll_d03_mJS4_ch04,gJS,sBM,cAll,d03,mJS4,ch04,120,[ 72. 109.],[144.  71.],90.5,107.5,99.0,72.0,71.0,71.0,90.5,107.5,90.5
gBR_sFM_cAll_d06_mBR4_ch18,gBR,sFM,cAll,d06,mBR4,ch18,120,[121. 144. 121. 115.  88.  70.],[121. 104.  70.  84. 133. 139.],109.83,108.5,109.16666666666667,121.0,70.0,121.0,118.0,112.5,118.0
gPO_sBM_cAll_d10_mPO0_ch01,gPO,sBM,cAll,d10,mPO0,ch01,80,[144.  79. 144.],[ 70. 117.  87.],122.33,91.33,106.83333333333333,144.0,70.0,144.0,144.0,87.0,102.0
gLO_sBM_cAll_d14_mLO0_ch02,gLO,sBM,cAll,d14,mLO0,ch02,80,[ 92.  83. 144.],[128. 134. 108.],106.33,123.33,114.83333333333333,83.0,108.0,83.0,92.0,128.0,118.0
gBR_sBM_cAll_d05_mBR4_ch01,gBR,sBM,cAll,d05,mBR4,ch01,120,[144. 144.],[126. 119.],144.0,122.5,133.25,144.0,119.0,144.0,144.0,122.5,135.0
gLH_sBM_cAll_d17_mLH5_ch02,gLH,sBM,cAll,d17,mLH5,ch02,130,[ 97. 125.],[109.  95.],111.0,102.0,106.5,97.0,95.0,95.0,111.0,102.0,103.0
gLO_sBM_cAll_d15_mLO4_ch08,gLO,sBM,cAll,d15,mLO4,ch08,120,[ 91. 144.],[ 70. 120.],117.5,95.0,106.25,91.0,70.0,70.0,117.5,95.0,105.5
gLH_sBM_cAll_d17_mLH1_ch09,gLH,sBM,cAll,d17,mLH1,ch09,90,[128. 118.],[110. 127.],123.0,118.5,120.75,118.0,110.0,110.0,123.0,118.5,122.5
gPO_sBM_cAll_d10_mPO1_ch03,gPO,sBM,cAll,d10,mPO1,ch03,90,[144. 141.],[103. 144.],142.5,123.5,133.0,141.0,103.0,144.0,142.5,123.5,142.5
gJB_sBM_cAll_d08_mJB4_ch07,gJB,sBM,cAll,d08,mJB4,ch07,120,[144. 144.],[144. 117.],144.0,130.5,137.25,144.0,117.0,144.0,144.0,130.5,144.0
gPO_sFM_cAll_d11_mPO0_ch08,gPO,sFM,cAll,d11,mPO0,ch08,80,[121. 102. 133. 109. 129.  74.  82. 112.],[ 72. 138.  96.  70. 139. 106.  70. 101.],107.75,99.0,103.375,74.0,70.0,70.0,110.5,98.5,104.0
gLO_sFM_cAll_d15_mLO5_ch20,gLO,sFM,cAll,d15,mLO5,ch20,130,[144. 144. 132. 116. 144.],[136. 132. 128. 139.  87.],136.0,124.4,130.2,144.0,87.0,144.0,144.0,132.0,134.0
gBR_sBM_cAll_d04_mBR2_ch01,gBR,sBM,cAll,d04,mBR2,ch01,100,[133. 125.],[102. 142.],129.0,122.0,125.5,125.0,102.0,102.0,129.0,122.0,129.0
gMH_sBM_cAll_d22_mMH2_ch06,gMH,sBM,cAll,d22,mMH2,ch06,100,[122.  80.],[106. 100.],101.0,103.0,102.0,80.0,100.0,80.0,101.0,103.0,103.0
gJS_sBM_cAll_d03_mJS5_ch01,gJS,sBM,cAll,d03,mJS5,ch01,130,[ 70. 118.],[98. 78.],94.0,88.0,91.0,70.0,78.0,70.0,94.0,88.0,88.0
gLO_sBM_cAll_d14_mLO4_ch01,gLO,sBM,cAll,d14,mLO4,ch01,120,[140. 144.],[112. 144.],142.0,128.0,135.0,140.0,112.0,144.0,142.0,128.0,142.0
gJB_sBM_cAll_d08_mJB4_ch09,gJB,sBM,cAll,d08,mJB4,ch09,120,[128.  75.],[132. 129.],101.5,130.5,116.0,75.0,129.0,75.0,101.5,130.5,128.5
gMH_sBM_cAll_d23_mMH4_ch06,gMH,sBM,cAll,d23,mMH4,ch06,120,[111. 129.],[91. 84.],120.0,87.5,103.75,111.0,84.0,84.0,120.0,87.5,101.0
gLO_sBM_cAll_d13_mLO1_ch05,gLO,sBM,cAll,d13,mLO1,ch05,90,[108.  73.],[104. 116.],90.5,110.0,100.25,73.0,104.0,73.0,90.5,110.0,106.0
gJB_sBM_cAll_d07_mJB2_ch01,gJB,sBM,cAll,d07,mJB2,ch01,100,[137. 116.],[108. 121.],126.5,114.5,120.5,116.0,108.0,108.0,126.5,114.5,118.5
gJS_sBM_cAll_d02_mJS4_ch05,gJS,sBM,cAll,d02,mJS4,ch05,120,[125. 135.],[123.  70.],130.0,96.5,113.25,125.0,70.0,70.0,130.0,96.5,124.0
gHO_sFM_cAll_d19_mHO4_ch05,gHO,sFM,cAll,d19,mHO4,ch05,130,[130. 135.  89. 119. 144.],[122. 120. 126. 137. 144.],123.4,129.8,126.6,89.0,120.0,144.0,130.0,126.0,128.0
gKR_sBM_cAll_d28_mKR2_ch02,gKR,sBM,cAll,d28,mKR2,ch02,100,[ 84. 144.],[104. 144.],114.0,124.0,119.0,84.0,104.0,144.0,114.0,124.0,124.0
gLO_sBM_cAll_d13_mLO2_ch10,gLO,sBM,cAll,d13,mLO2,ch10,100,[78. 74.],[ 70. 122.],76.0,96.0,86.0,74.0,70.0,70.0,76.0,96.0,76.0
gJB_sBM_cAll_d09_mJB2_ch09,gJB,sBM,cAll,d09,mJB2,ch09,100,[70. 76.],[130. 110.],73.0,120.0,96.5,70.0,110.0,70.0,73.0,120.0,93.0
gLO_sBM_cAll_d15_mLO5_ch06,gLO,sBM,cAll,d15,mLO5,ch06,130,[ 96. 129.],[ 99. 130.],112.5,114.5,113.5,96.0,99.0,96.0,112.5,114.5,114.0
gLO_sBM_cAll_d15_mLO3_ch04,gLO,sBM,cAll,d15,mLO3,ch04,110,[137. 134.],[143.  95.],135.5,119.0,127.25,134.0,95.0,95.0,135.5,119.0,135.5
gKR_sBM_cAll_d28_mKR0_ch02,gKR,sBM,cAll,d28,mKR0,ch02,80,[ 93. 120. 112.],[134. 131.  79.],108.33,114.67,111.5,93.0,79.0,79.0,112.0,131.0,116.0
gKR_sBM_cAll_d28_mKR2_ch09,gKR,sBM,cAll,d28,mKR2,ch09,100,[144.  85.],[116. 103.],114.5,109.5,112.0,85.0,103.0,85.0,114.5,109.5,109.5
gHO_sBM_cAll_d21_mHO4_ch02,gHO,sBM,cAll,d21,mHO4,ch02,130,[128. 138.],[102.  97.],133.0,99.5,116.25,128.0,97.0,97.0,133.0,99.5,115.0
gJB_sBM_cAll_d08_mJB1_ch10,gJB,sBM,cAll,d08,mJB1,ch10,90,[121. 135.],[ 74. 137.],128.0,105.5,116.75,121.0,74.0,74.0,128.0,105.5,128.0
gKR_sBM_cAll_d30_mKR4_ch04,gKR,sBM,cAll,d30,mKR4,ch04,120,[ 99. 130.],[135. 144.],114.5,139.5,127.0,99.0,135.0,99.0,114.5,139.5,132.5
gPO_sBM_cAll_d12_mPO5_ch10,gPO,sBM,cAll,d12,mPO5,ch10,130,[130.  97.],[128. 131.],113.5,129.5,121.5,97.0,128.0,97.0,113.5,129.5,129.0
gLO_sBM_cAll_d13_mLO3_ch06,gLO,sBM,cAll,d13,mLO3,ch06,110,[100. 139.],[ 83. 141.],119.5,112.0,115.75,100.0,83.0,83.0,119.5,112.0,119.5
gLH_sBM_cAll_d16_mLH2_ch06,gLH,sBM,cAll,d16,mLH2,ch06,100,[140. 144.],[119. 100.],142.0,109.5,125.75,140.0,100.0,100.0,142.0,109.5,129.5
gLH_sBM_cAll_d16_mLH1_ch10,gLH,sBM,cAll,d16,mLH1,ch10,90,[71. 70.],[97. 95.],70.5,96.0,83.25,70.0,95.0,70.0,70.5,96.0,83.0
gBR_sBM_cAll_d04_mBR1_ch01,gBR,sBM,cAll,d04,mBR1,ch01,90,[120. 113.],[117. 113.],116.5,115.0,115.75,113.0,113.0,113.0,116.5,115.0,115.0
gWA_sFM_cAll_d27_mWA0_ch15,gWA,sFM,cAll,d27,mWA0,ch15,80,[ 94. 138. 143.  96. 137. 144. 144. 124.],[111. 115.  79.  75.  80. 127. 124.  90.],127.5,100.12,113.8125,144.0,75.0,124.0,137.5,100.5,119.5
gLH_sBM_cAll_d18_mLH5_ch06,gLH,sBM,cAll,d18,mLH5,ch06,130,[ 95. 127.],[133. 125.],111.0,129.0,120.0,95.0,125.0,95.0,111.0,129.0,126.0
gHO_sBM_cAll_d21_mHO3_ch09,gHO,sBM,cAll,d21,mHO3,ch09,125,[ 74. 131.],[133. 131.],102.5,132.0,117.25,74.0,131.0,131.0,102.5,132.0,131.0
gJB_sBM_cAll_d08_mJB1_ch05,gJB,sBM,cAll,d08,mJB1,ch05,90,[123. 132.],[144. 144.],127.5,144.0,135.75,123.0,144.0,144.0,127.5,144.0,138.0
gHO_sBM_cAll_d20_mHO1_ch04,gHO,sBM,cAll,d20,mHO1,ch04,115,[115. 115.],[ 70. 136.],115.0,103.0,109.0,115.0,70.0,115.0,115.0,103.0,115.0
gLH_sBM_cAll_d16_mLH3_ch06,gLH,sBM,cAll,d16,mLH3,ch06,110,[128. 128.],[ 91. 136.],128.0,113.5,120.75,128.0,91.0,128.0,128.0,113.5,128.0
gWA_sBM_cAll_d26_mWA4_ch09,gWA,sBM,cAll,d26,mWA4,ch09,120,[139. 136.],[ 95. 144.],137.5,119.5,128.5,136.0,95.0,95.0,137.5,119.5,137.5
gMH_sBM_cAll_d23_mMH0_ch08,gMH,sBM,cAll,d23,mMH0,ch08,80,[ 85.  76. 144.],[79. 80. 70.],101.67,76.33,89.0,76.0,70.0,70.0,85.0,79.0,79.5
gLO_sBM_cAll_d14_mLO0_ch03,gLO,sBM,cAll,d14,mLO0,ch03,80,[144. 137. 110.],[134. 128. 144.],130.33,135.33,132.83333333333334,110.0,128.0,144.0,137.0,134.0,135.5
gBR_sBM_cAll_d05_mBR0_ch05,gBR,sBM,cAll,d05,mBR0,ch05,80,[ 83. 144.  99.],[107. 120. 136.],108.67,121.0,114.83333333333333,83.0,107.0,83.0,99.0,120.0,113.5
gPO_sBM_cAll_d12_mPO2_ch04,gPO,sBM,cAll,d12,mPO2,ch04,100,[114. 115.],[144.  96.],114.5,120.0,117.25,114.0,96.0,96.0,114.5,120.0,114.5
gLH_sBM_cAll_d18_mLH2_ch03,gLH,sBM,cAll,d18,mLH2,ch03,100,[ 84. 128.],[91. 99.],106.0,95.0,100.5,84.0,91.0,84.0,106.0,95.0,95.0
gKR_sBM_cAll_d29_mKR1_ch02,gKR,sBM,cAll,d29,mKR1,ch02,90,[93. 93.],[90. 80.],93.0,85.0,89.0,93.0,80.0,93.0,93.0,85.0,91.5
gJB_sBM_cAll_d09_mJB2_ch01,gJB,sBM,cAll,d09,mJB2,ch01,100,[106.  78.],[127. 114.],92.0,120.5,106.25,78.0,114.0,78.0,92.0,120.5,110.0
gMH_sFM_cAll_d23_mMH2_ch10,gMH,sFM,cAll,d23,mMH2,ch10,100,[127. 129.  73. 115. 128. 144. 123.],[ 99.  75.  74.  83. 106. 117. 108.],119.86,94.57,107.21428571428571,73.0,74.0,73.0,127.0,99.0,111.5
gLH_sFM_cAll_d16_mLH0_ch01,gLH,sFM,cAll,d16,mLH0,ch01,80,[144. 113. 139. 144. 110. 129. 144. 144.],[138.  94. 113.  81. 110. 100. 102.  81.],133.38,102.38,117.875,144.0,81.0,144.0,141.5,101.0,113.0
gKR_sBM_cAll_d30_mKR4_ch07,gKR,sBM,cAll,d30,mKR4,ch07,120,[120.  78.],[125. 144.],99.0,134.5,116.75,78.0,125.0,78.0,99.0,134.5,122.5
gKR_sBM_cAll_d29_mKR5_ch08,gKR,sBM,cAll,d29,mKR5,ch08,130,[102. 124.],[140. 134.],113.0,137.0,125.0,102.0,134.0,102.0,113.0,137.0,129.0
gJS_sBM_cAll_d02_mJS4_ch06,gJS,sBM,cAll,d02,mJS4,ch06,120,[122. 114.],[135. 100.],118.0,117.5,117.75,114.0,100.0,100.0,118.0,117.5,118.0
gLH_sBM_cAll_d16_mLH3_ch08,gLH,sBM,cAll,d16,mLH3,ch08,110,[84. 97.],[104.  87.],90.5,95.5,93.0,84.0,87.0,84.0,90.5,95.5,92.0
gPO_sBM_cAll_d12_mPO2_ch06,gPO,sBM,cAll,d12,mPO2,ch06,100,[ 99. 144.],[144. 101.],121.5,122.5,122.0,99.0,101.0,144.0,121.5,122.5,122.5
gWA_sFM_cAll_d26_mWA1_ch09,gWA,sFM,cAll,d26,mWA1,ch09,90,[ 91. 109. 131. 143. 136.  91. 139. 130.],[115. 138.  88.  90.  88.  91. 135. 108.],121.25,106.62,113.9375,91.0,88.0,91.0,130.5,99.5,112.0
gPO_sBM_cAll_d12_mPO5_ch02,gPO,sBM,cAll,d12,mPO5,ch02,130,[144.  96.],[103. 115.],120.0,109.0,114.5,96.0,103.0,96.0,120.0,109.0,109.0
