filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,estimated_bpm_per_window_x,estimated_bpm_per_window_y,bpm_avg_x,bpm_avg_y,bpm_avg_xy,bpm_mode_x,bpm_mode_y,bpm_mode_xy,bpm_median_x,bpm_median_y,bpm_median_xy
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,[111. 110.],[113. 111.],110.5,112.0,111.25,110.0,111.0,111.0,110.5,112.0,111.0
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,[128. 130.],[ 71. 134.],129.0,102.5,115.75,128.0,71.0,71.0,129.0,102.5,129.0
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,[127.  74.],[ 81. 108.],100.5,94.5,97.5,74.0,81.0,74.0,100.5,94.5,94.5
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,[144. 144.],[104. 110.],144.0,107.0,125.5,144.0,104.0,144.0,144.0,107.0,127.0
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,[116. 129.],[117.  82.],122.5,99.5,111.0,116.0,82.0,82.0,122.5,99.5,116.5
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,[138. 135.],[102. 128.],136.5,115.0,125.75,135.0,102.0,102.0,136.5,115.0,131.5
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,[ 92. 119.  70. 109. 102. 105. 136.],[124. 112. 108.  94. 131. 111. 135.],104.71,116.43,110.57142857142857,70.0,94.0,70.0,105.0,112.0,110.0
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,[102.  96.],[141. 144.],99.0,142.5,120.75,96.0,141.0,96.0,99.0,142.5,121.5
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,[93. 73.],[101.  80.],83.0,90.5,86.75,73.0,80.0,73.0,83.0,90.5,86.5
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,[ 93. 135.],[ 78. 118.],114.0,98.0,106.0,93.0,78.0,78.0,114.0,98.0,105.5
gHO_sBM_cAll_d20_mHO0_ch01,gHO,sBM,cAll,d20,mHO0,ch01,110,[141. 144.],[139. 102.],142.5,120.5,131.5,141.0,102.0,102.0,142.5,120.5,140.0
gLO_sBM_cAll_d13_mLO1_ch02,gLO,sBM,cAll,d13,mLO1,ch02,90,[128.  70.],[114. 125.],99.0,119.5,109.25,70.0,114.0,70.0,99.0,119.5,119.5
gPO_sBM_cAll_d12_mPO5_ch08,gPO,sBM,cAll,d12,mPO5,ch08,130,[ 85. 144.],[144. 118.],114.5,131.0,122.75,85.0,118.0,144.0,114.5,131.0,131.0
gKR_sBM_cAll_d30_mKR5_ch08,gKR,sBM,cAll,d30,mKR5,ch08,130,[92. 98.],[ 70. 100.],95.0,85.0,90.0,92.0,70.0,70.0,95.0,85.0,95.0
gBR_sBM_cAll_d06_mBR5_ch04,gBR,sBM,cAll,d06,mBR5,ch04,130,[125. 125.],[121. 121.],125.0,121.0,123.0,125.0,121.0,121.0,125.0,121.0,123.0
gJS_sBM_cAll_d01_mJS2_ch03,gJS,sBM,cAll,d01,mJS2,ch03,100,[ 70. 123.],[ 96. 136.],96.5,116.0,106.25,70.0,96.0,70.0,96.5,116.0,109.5
gBR_sBM_cAll_d04_mBR1_ch03,gBR,sBM,cAll,d04,mBR1,ch03,90,[142. 135.],[ 91. 136.],138.5,113.5,126.0,135.0,91.0,91.0,138.5,113.5,135.5
gJS_sBM_cAll_d02_mJS0_ch10,gJS,sBM,cAll,d02,mJS0,ch10,80,[ 83. 126.],[144. 108.],104.5,126.0,115.25,83.0,108.0,83.0,104.5,126.0,117.0
gLO_sBM_cAll_d15_mLO4_ch01,gLO,sBM,cAll,d15,mLO4,ch01,120,[136. 105.],[104.  83.],120.5,93.5,107.0,105.0,83.0,83.0,120.5,93.5,104.5
gPO_sBM_cAll_d10_mPO1_ch02,gPO,sBM,cAll,d10,mPO1,ch02,90,[133. 121.],[139. 135.],127.0,137.0,132.0,121.0,135.0,121.0,127.0,137.0,134.0
gJS_sBM_cAll_d02_mJS4_ch08,gJS,sBM,cAll,d02,mJS4,ch08,120,[123. 144.],[123. 116.],133.5,119.5,126.5,123.0,116.0,123.0,133.5,119.5,123.0
gBR_sBM_cAll_d05_mBR4_ch06,gBR,sBM,cAll,d05,mBR4,ch06,120,[128. 144.],[ 70. 144.],136.0,107.0,121.5,128.0,70.0,144.0,136.0,107.0,136.0
gJS_sBM_cAll_d02_mJS5_ch03,gJS,sBM,cAll,d02,mJS5,ch03,130,[109. 109.],[144. 138.],109.0,141.0,125.0,109.0,138.0,109.0,109.0,141.0,123.5
gBR_sBM_cAll_d06_mBR3_ch06,gBR,sBM,cAll,d06,mBR3,ch06,110,[124. 140.],[ 93. 107.],132.0,100.0,116.0,124.0,93.0,93.0,132.0,100.0,115.5
gBR_sBM_cAll_d04_mBR2_ch07,gBR,sBM,cAll,d04,mBR2,ch07,100,[ 85. 103.],[144. 100.],94.0,122.0,108.0,85.0,100.0,85.0,94.0,122.0,101.5
gPO_sBM_cAll_d11_mPO1_ch01,gPO,sBM,cAll,d11,mPO1,ch01,90,[138.  88.],[122.  70.],113.0,96.0,104.5,88.0,70.0,70.0,113.0,96.0,105.0
gBR_sBM_cAll_d04_mBR0_ch05,gBR,sBM,cAll,d04,mBR0,ch05,80,[138.  79.],[128. 118.],108.5,123.0,115.75,79.0,118.0,79.0,108.5,123.0,123.0
gKR_sBM_cAll_d30_mKR5_ch01,gKR,sBM,cAll,d30,mKR5,ch01,130,[144. 136.],[ 91. 144.],140.0,117.5,128.75,136.0,91.0,144.0,140.0,117.5,140.0
gMH_sBM_cAll_d22_mMH1_ch06,gMH,sBM,cAll,d22,mMH1,ch06,90,[144. 110.],[137. 136.],127.0,136.5,131.75,110.0,136.0,110.0,127.0,136.5,136.5
gJS_sBM_cAll_d03_mJS3_ch09,gJS,sBM,cAll,d03,mJS3,ch09,110,[140.  70.],[123. 144.],105.0,133.5,119.25,70.0,123.0,70.0,105.0,133.5,131.5
gHO_sBM_cAll_d21_mHO2_ch08,gHO,sBM,cAll,d21,mHO2,ch08,120,[113. 144.],[119. 144.],128.5,131.5,130.0,113.0,119.0,144.0,128.5,131.5,131.5
gJB_sFM_cAll_d09_mJB0_ch15,gJB,sFM,cAll,d09,mJB0,ch15,80,[104.  81. 122. 141. 135. 133. 125.],[ 84.  84. 144. 144. 135. 121. 127.],120.14,119.86,120.0,81.0,84.0,84.0,125.0,127.0,126.0
