filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,estimated_bpm_per_window_x,estimated_bpm_per_window_y,bpm_avg_x,bpm_avg_y,bpm_avg_xy,bpm_mode_x,bpm_mode_y,bpm_mode_xy,bpm_median_x,bpm_median_y,bpm_median_xy
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,[100. 111.],[115. 114.],105.5,114.5,110.0,100.0,114.0,100.0,105.5,114.5,112.5
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,[135. 142.],[74. 70.],138.5,72.0,105.25,135.0,70.0,70.0,138.5,72.0,104.5
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,[129. 144.],[144. 111.],136.5,127.5,132.0,129.0,111.0,144.0,136.5,127.5,136.5
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,[104. 101.],[144. 143.],102.5,143.5,123.0,101.0,143.0,101.0,102.5,143.5,123.5
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,[114. 115.],[119. 137.],114.5,128.0,121.25,114.0,119.0,114.0,114.5,128.0,117.0
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,[127. 135.],[97. 77.],131.0,87.0,109.0,127.0,77.0,77.0,131.0,87.0,112.0
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,[139.  82. 132. 138.  95.  92. 119.],[ 75. 138.  70. 136. 127. 126. 138.],113.86,115.71,114.78571428571429,82.0,138.0,138.0,119.0,127.0,126.5
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,[ 78. 112.],[144. 144.],95.0,144.0,119.5,78.0,144.0,144.0,95.0,144.0,128.0
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,[90. 81.],[117. 111.],85.5,114.0,99.75,81.0,111.0,81.0,85.5,114.0,100.5
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,[118.  96.],[ 78. 137.],107.0,107.5,107.25,96.0,78.0,78.0,107.0,107.5,107.0
gHO_sBM_cAll_d20_mHO0_ch01,gHO,sBM,cAll,d20,mHO0,ch01,110,[144. 134.],[125. 144.],139.0,134.5,136.75,134.0,125.0,144.0,139.0,134.5,139.0
gLO_sBM_cAll_d13_mLO1_ch02,gLO,sBM,cAll,d13,mLO1,ch02,90,[136. 129.],[ 95. 101.],132.5,98.0,115.25,129.0,95.0,95.0,132.5,98.0,115.0
