filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,estimated_bpm_per_window_x,estimated_bpm_per_window_y,bpm_avg_x,bpm_avg_y,bpm_avg_xy,bpm_mode_x,bpm_mode_y,bpm_mode_xy,bpm_median_x,bpm_median_y,bpm_median_xy
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,[106. 110. 117.],[144. 100.  70.],111.0,104.67,107.83333333333333,106.0,70.0,70.0,110.0,100.0,108.0
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,[127. 144.  78.],[107.  97.  70.],116.33,91.33,103.83333333333333,78.0,70.0,70.0,127.0,97.0,102.0
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,[101. 144.  70. 108.],[144.  71. 144. 144.],105.75,125.75,115.75,70.0,144.0,144.0,104.5,144.0,126.0
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,[144. 135.  88.],[144. 139.  94.],122.33,125.67,124.0,88.0,94.0,144.0,135.0,139.0,137.0
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,[123. 125. 113.],[144. 144. 107.],120.33,131.67,126.0,113.0,144.0,144.0,123.0,144.0,124.0
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,[144. 126. 139.],[144. 132. 144.],136.33,140.0,138.16666666666666,126.0,144.0,144.0,139.0,144.0,141.5
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,"[101. 125.  74. 144. 144.  90. 127. 131. 144. 115. 144. 126. 102.  74.
 144.]","[120. 141. 119. 124. 144. 144. 144.  73.  95. 124. 144. 144. 144.  94.
 144.]",119.0,126.53,122.76666666666667,144.0,144.0,144.0,126.0,141.0,126.5
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,[ 97. 102. 144. 135.],[144. 144. 111. 144.],119.5,135.75,127.625,97.0,144.0,144.0,118.5,144.0,139.5
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,[144. 144. 144. 144.],[116. 112. 144. 120.],144.0,123.0,133.5,144.0,112.0,144.0,144.0,118.0,144.0
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,[144.  90. 144.  73.],[144. 144. 110.  83.],112.75,120.25,116.5,144.0,144.0,144.0,117.0,127.0,127.0
gHO_sBM_cAll_d20_mHO0_ch01,gHO,sBM,cAll,d20,mHO0,ch01,110,[106. 115. 113.],[120.  74.  77.],111.33,90.33,100.83333333333333,106.0,74.0,74.0,113.0,77.0,109.5
gLO_sBM_cAll_d13_mLO1_ch02,gLO,sBM,cAll,d13,mLO1,ch02,90,[129.  83. 144. 144.],[144. 144. 144. 144.],125.0,144.0,134.5,144.0,144.0,144.0,136.5,144.0,144.0
gPO_sBM_cAll_d12_mPO5_ch08,gPO,sBM,cAll,d12,mPO5,ch08,130,[144.  90. 144.],[144. 142. 144.],126.0,143.33,134.66666666666666,144.0,144.0,144.0,144.0,144.0,144.0
gKR_sBM_cAll_d30_mKR5_ch08,gKR,sBM,cAll,d30,mKR5,ch08,130,[132. 113. 144.],[109. 132. 131.],129.67,124.0,126.83333333333333,113.0,109.0,132.0,132.0,131.0,131.5
