filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,estimated_bpm_per_window_x,estimated_bpm_per_window_y,bpm_avg_x,bpm_avg_y,bpm_avg_xy,bpm_mode_x,bpm_mode_y,bpm_mode_xy,bpm_median_x,bpm_median_y,bpm_median_xy
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,[111. 109.],[114. 111.],110.0,112.5,111.25,109.0,111.0,111.0,110.0,112.5,111.0
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,[ 71. 144.],[135. 132.],107.5,133.5,120.5,71.0,132.0,71.0,107.5,133.5,133.5
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,[104. 104.],[115. 100.],104.0,107.5,105.75,104.0,100.0,104.0,104.0,107.5,104.0
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,[ 78. 101.],[106. 107.],89.5,106.5,98.0,78.0,106.0,78.0,89.5,106.5,103.5
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,[95. 90.],[ 92. 130.],92.5,111.0,101.75,90.0,92.0,90.0,92.5,111.0,93.5
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,[128.  73.],[132. 141.],100.5,136.5,118.5,73.0,132.0,73.0,100.5,136.5,130.0
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,[116. 140. 110. 132. 144. 116. 144.],[122. 115.  95.  95. 129. 138. 144.],128.86,119.71,124.28571428571429,116.0,95.0,144.0,132.0,122.0,125.5
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,[115. 144.],[104. 101.],129.5,102.5,116.0,115.0,101.0,101.0,129.5,102.5,109.5
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,[133. 116.],[128. 111.],124.5,119.5,122.0,116.0,111.0,111.0,124.5,119.5,122.0
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,[ 92. 115.],[117. 113.],103.5,115.0,109.25,92.0,113.0,92.0,103.5,115.0,114.0
