filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,estimated_bpm_per_window_x,estimated_bpm_per_window_y,bpm_avg_x,bpm_avg_y,bpm_avg_xy,bpm_mode_x,bpm_mode_y,bpm_mode_xy,bpm_median_x,bpm_median_y,bpm_median_xy
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,[108. 113.],[113. 112.],110.5,112.5,111.5,108.0,112.0,113.0,110.5,112.5,112.5
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,[142.],[142.],142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142.0
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,[119. 110.],[115. 119.],114.5,117.0,115.75,110.0,115.0,119.0,114.5,117.0,117.0
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,[104. 144.],[122.  96.],124.0,109.0,116.5,104.0,96.0,96.0,124.0,109.0,113.0
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,[ 75. 124.],[ 70. 136.],99.5,103.0,101.25,75.0,70.0,70.0,99.5,103.0,99.5
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,[70.],[139.],70.0,139.0,104.5,70.0,139.0,70.0,70.0,139.0,104.5
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,[ 73. 112. 130. 119. 141. 126.],[123.  96. 140.  94.  89. 138.],116.83,113.33,115.08333333333333,73.0,89.0,73.0,122.5,109.5,121.0
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,[121.  98.],[115. 102.],109.5,108.5,109.0,98.0,102.0,98.0,109.5,108.5,108.5
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,[144. 128.],[140. 133.],136.0,136.5,136.25,128.0,133.0,128.0,136.0,136.5,136.5
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,[112. 122.],[124.  89.],117.0,106.5,111.75,112.0,89.0,89.0,117.0,106.5,117.0
gHO_sBM_cAll_d20_mHO0_ch01,gHO,sBM,cAll,d20,mHO0,ch01,110,[82. 76.],[113.  80.],79.0,96.5,87.75,76.0,80.0,76.0,79.0,96.5,81.0
gLO_sBM_cAll_d13_mLO1_ch02,gLO,sBM,cAll,d13,mLO1,ch02,90,[144.  85.],[117.  92.],114.5,104.5,109.5,85.0,92.0,85.0,114.5,104.5,104.5
gPO_sBM_cAll_d12_mPO5_ch08,gPO,sBM,cAll,d12,mPO5,ch08,130,[132.],[135.],132.0,135.0,133.5,132.0,135.0,132.0,132.0,135.0,133.5
gKR_sBM_cAll_d30_mKR5_ch08,gKR,sBM,cAll,d30,mKR5,ch08,130,[144.],[127.],144.0,127.0,135.5,144.0,127.0,127.0,144.0,127.0,135.5
gBR_sBM_cAll_d06_mBR5_ch04,gBR,sBM,cAll,d06,mBR5,ch04,130,[144.],[124.],144.0,124.0,134.0,144.0,124.0,124.0,144.0,124.0,134.0
gJS_sBM_cAll_d01_mJS2_ch03,gJS,sBM,cAll,d01,mJS2,ch03,100,[ 77. 132.],[131.  81.],104.5,106.0,105.25,77.0,81.0,77.0,104.5,106.0,106.0
gBR_sBM_cAll_d04_mBR1_ch03,gBR,sBM,cAll,d04,mBR1,ch03,90,[92. 91.],[91. 90.],91.5,90.5,91.0,91.0,90.0,91.0,91.5,90.5,91.0
gJS_sBM_cAll_d02_mJS0_ch10,gJS,sBM,cAll,d02,mJS0,ch10,80,[119. 117.],[132. 122.],118.0,127.0,122.5,117.0,122.0,117.0,118.0,127.0,120.5
gLO_sBM_cAll_d15_mLO4_ch01,gLO,sBM,cAll,d15,mLO4,ch01,120,[120.],[116.],120.0,116.0,118.0,120.0,116.0,116.0,120.0,116.0,118.0
gPO_sBM_cAll_d10_mPO1_ch02,gPO,sBM,cAll,d10,mPO1,ch02,90,[ 72. 108.],[93. 91.],90.0,92.0,91.0,72.0,91.0,72.0,90.0,92.0,92.0
gJS_sBM_cAll_d02_mJS4_ch08,gJS,sBM,cAll,d02,mJS4,ch08,120,[98.],[120.],98.0,120.0,109.0,98.0,120.0,98.0,98.0,120.0,109.0
gBR_sBM_cAll_d05_mBR4_ch06,gBR,sBM,cAll,d05,mBR4,ch06,120,[99.],[124.],99.0,124.0,111.5,99.0,124.0,99.0,99.0,124.0,111.5
gJS_sBM_cAll_d02_mJS5_ch03,gJS,sBM,cAll,d02,mJS5,ch03,130,[84.],[101.],84.0,101.0,92.5,84.0,101.0,84.0,84.0,101.0,92.5
gBR_sBM_cAll_d06_mBR3_ch06,gBR,sBM,cAll,d06,mBR3,ch06,110,[103. 143.],[ 85. 110.],123.0,97.5,110.25,103.0,85.0,85.0,123.0,97.5,106.5
gBR_sBM_cAll_d04_mBR2_ch07,gBR,sBM,cAll,d04,mBR2,ch07,100,[123. 104.],[144.  92.],113.5,118.0,115.75,104.0,92.0,92.0,113.5,118.0,113.5
gPO_sBM_cAll_d11_mPO1_ch01,gPO,sBM,cAll,d11,mPO1,ch01,90,[ 81. 137.],[95. 89.],109.0,92.0,100.5,81.0,89.0,81.0,109.0,92.0,92.0
gBR_sBM_cAll_d04_mBR0_ch05,gBR,sBM,cAll,d04,mBR0,ch05,80,[ 89. 117.],[88. 79.],103.0,83.5,93.25,89.0,79.0,79.0,103.0,83.5,88.5
gKR_sBM_cAll_d30_mKR5_ch01,gKR,sBM,cAll,d30,mKR5,ch01,130,[100.],[131.],100.0,131.0,115.5,100.0,131.0,100.0,100.0,131.0,115.5
gMH_sBM_cAll_d22_mMH1_ch06,gMH,sBM,cAll,d22,mMH1,ch06,90,[127. 144.],[144.  97.],135.5,120.5,128.0,127.0,97.0,144.0,135.5,120.5,135.5
gJS_sBM_cAll_d03_mJS3_ch09,gJS,sBM,cAll,d03,mJS3,ch09,110,[91. 73.],[113. 142.],82.0,127.5,104.75,73.0,113.0,73.0,82.0,127.5,102.0
gHO_sBM_cAll_d21_mHO2_ch08,gHO,sBM,cAll,d21,mHO2,ch08,120,[98.],[119.],98.0,119.0,108.5,98.0,119.0,98.0,98.0,119.0,108.5
gJB_sFM_cAll_d09_mJB0_ch15,gJB,sFM,cAll,d09,mJB0,ch15,80,[ 82. 106. 110.  96. 115. 125.],[131.  71. 131. 113.  80.  70.],105.67,99.33,102.5,82.0,131.0,131.0,108.0,96.5,108.0
gLO_sBM_cAll_d15_mLO4_ch09,gLO,sBM,cAll,d15,mLO4,ch09,120,[144.],[96.],144.0,96.0,120.0,144.0,96.0,96.0,144.0,96.0,120.0
gWA_sFM_cAll_d25_mWA0_ch01,gWA,sFM,cAll,d25,mWA0,ch01,80,[107. 144. 122. 108. 108. 121.],[144. 131. 138.  91. 137. 131.],118.33,128.67,123.5,108.0,131.0,108.0,114.5,134.0,126.5
gWA_sBM_cAll_d27_mWA5_ch01,gWA,sBM,cAll,d27,mWA5,ch01,130,[144.],[125.],144.0,125.0,134.5,144.0,125.0,125.0,144.0,125.0,134.5
gWA_sBM_cAll_d25_mWA0_ch03,gWA,sBM,cAll,d25,mWA0,ch03,80,[ 99. 128.],[102. 115.],113.5,108.5,111.0,99.0,102.0,99.0,113.5,108.5,108.5
gLH_sFM_cAll_d16_mLH5_ch06,gLH,sFM,cAll,d16,mLH5,ch06,130,[107. 134. 126.  87.],[134. 134. 105. 109.],113.5,120.5,117.0,87.0,134.0,134.0,116.5,121.5,117.5
gBR_sBM_cAll_d04_mBR1_ch06,gBR,sBM,cAll,d04,mBR1,ch06,90,[144. 113.],[135.  91.],128.5,113.0,120.75,113.0,91.0,91.0,128.5,113.0,124.0
gLH_sBM_cAll_d16_mLH0_ch03,gLH,sBM,cAll,d16,mLH0,ch03,80,[85. 83.],[106.  83.],84.0,94.5,89.25,83.0,83.0,83.0,84.0,94.5,84.0
gMH_sBM_cAll_d23_mMH5_ch10,gMH,sBM,cAll,d23,mMH5,ch10,130,[116.],[117.],116.0,117.0,116.5,116.0,117.0,116.0,116.0,117.0,116.5
gKR_sFM_cAll_d28_mKR2_ch03,gKR,sFM,cAll,d28,mKR2,ch03,100,[105. 140. 126. 136. 130.],[136. 120.  87. 105. 106.],127.4,110.8,119.1,105.0,87.0,105.0,130.0,106.0,123.0
gPO_sBM_cAll_d10_mPO2_ch05,gPO,sBM,cAll,d10,mPO2,ch05,100,[110.  70.],[120. 144.],90.0,132.0,111.0,70.0,120.0,70.0,90.0,132.0,115.0
gWA_sBM_cAll_d26_mWA5_ch01,gWA,sBM,cAll,d26,mWA5,ch01,130,[93.],[131.],93.0,131.0,112.0,93.0,131.0,93.0,93.0,131.0,112.0
gLO_sBM_cAll_d14_mLO4_ch10,gLO,sBM,cAll,d14,mLO4,ch10,120,[114.],[132.],114.0,132.0,123.0,114.0,132.0,114.0,114.0,132.0,123.0
gLH_sBM_cAll_d18_mLH3_ch03,gLH,sBM,cAll,d18,mLH3,ch03,110,[101. 108.],[119.  94.],104.5,106.5,105.5,101.0,94.0,94.0,104.5,106.5,104.5
gJS_sBM_cAll_d03_mJS4_ch04,gJS,sBM,cAll,d03,mJS4,ch04,120,[93.],[100.],93.0,100.0,96.5,93.0,100.0,93.0,93.0,100.0,96.5
gBR_sFM_cAll_d06_mBR4_ch18,gBR,sFM,cAll,d06,mBR4,ch18,120,[ 93. 125. 114. 127.],[125. 116. 123. 111.],114.75,118.75,116.75,93.0,111.0,125.0,119.5,119.5,119.5
gPO_sBM_cAll_d10_mPO0_ch01,gPO,sBM,cAll,d10,mPO0,ch01,80,[133.  82.],[ 89. 143.],107.5,116.0,111.75,82.0,89.0,82.0,107.5,116.0,111.0
gLO_sBM_cAll_d14_mLO0_ch02,gLO,sBM,cAll,d14,mLO0,ch02,80,[127. 144.],[118.  85.],135.5,101.5,118.5,127.0,85.0,85.0,135.5,101.5,122.5
gBR_sBM_cAll_d05_mBR4_ch01,gBR,sBM,cAll,d05,mBR4,ch01,120,[81.],[128.],81.0,128.0,104.5,81.0,128.0,81.0,81.0,128.0,104.5
gLH_sBM_cAll_d17_mLH5_ch02,gLH,sBM,cAll,d17,mLH5,ch02,130,[105.],[126.],105.0,126.0,115.5,105.0,126.0,105.0,105.0,126.0,115.5
gLO_sBM_cAll_d15_mLO4_ch08,gLO,sBM,cAll,d15,mLO4,ch08,120,[118.],[121.],118.0,121.0,119.5,118.0,121.0,118.0,118.0,121.0,119.5
gLH_sBM_cAll_d17_mLH1_ch09,gLH,sBM,cAll,d17,mLH1,ch09,90,[144. 121.],[106.  79.],132.5,92.5,112.5,121.0,79.0,79.0,132.5,92.5,113.5
gPO_sBM_cAll_d10_mPO1_ch03,gPO,sBM,cAll,d10,mPO1,ch03,90,[103. 109.],[138.  87.],106.0,112.5,109.25,103.0,87.0,87.0,106.0,112.5,106.0
gJB_sBM_cAll_d08_mJB4_ch07,gJB,sBM,cAll,d08,mJB4,ch07,120,[85.],[89.],85.0,89.0,87.0,85.0,89.0,85.0,85.0,89.0,87.0
gPO_sFM_cAll_d11_mPO0_ch08,gPO,sFM,cAll,d11,mPO0,ch08,80,[ 99.  95.  96.  99. 130.  95.],[137. 144. 132. 104.  95. 115.],102.33,121.17,111.75,95.0,95.0,95.0,97.5,123.5,101.5
gLO_sFM_cAll_d15_mLO5_ch20,gLO,sFM,cAll,d15,mLO5,ch20,130,[ 95.  99. 140. 120.],[113. 124. 116. 135.],113.5,122.0,117.75,95.0,113.0,95.0,109.5,120.0,118.0
gBR_sBM_cAll_d04_mBR2_ch01,gBR,sBM,cAll,d04,mBR2,ch01,100,[144. 142.],[102. 101.],143.0,101.5,122.25,142.0,101.0,101.0,143.0,101.5,122.0
gMH_sBM_cAll_d22_mMH2_ch06,gMH,sBM,cAll,d22,mMH2,ch06,100,[134.  98.],[95. 98.],116.0,96.5,106.25,98.0,95.0,98.0,116.0,96.5,98.0
gJS_sBM_cAll_d03_mJS5_ch01,gJS,sBM,cAll,d03,mJS5,ch01,130,[87.],[116.],87.0,116.0,101.5,87.0,116.0,87.0,87.0,116.0,101.5
gLO_sBM_cAll_d14_mLO4_ch01,gLO,sBM,cAll,d14,mLO4,ch01,120,[133.],[126.],133.0,126.0,129.5,133.0,126.0,126.0,133.0,126.0,129.5
gJB_sBM_cAll_d08_mJB4_ch09,gJB,sBM,cAll,d08,mJB4,ch09,120,[131.],[102.],131.0,102.0,116.5,131.0,102.0,102.0,131.0,102.0,116.5
gMH_sBM_cAll_d23_mMH4_ch06,gMH,sBM,cAll,d23,mMH4,ch06,120,[144.],[125.],144.0,125.0,134.5,144.0,125.0,125.0,144.0,125.0,134.5
gLO_sBM_cAll_d13_mLO1_ch05,gLO,sBM,cAll,d13,mLO1,ch05,90,[88. 93.],[94. 91.],90.5,92.5,91.5,88.0,91.0,88.0,90.5,92.5,92.0
gJB_sBM_cAll_d07_mJB2_ch01,gJB,sBM,cAll,d07,mJB2,ch01,100,[110. 105.],[114. 107.],107.5,110.5,109.0,105.0,107.0,105.0,107.5,110.5,108.5
gJS_sBM_cAll_d02_mJS4_ch05,gJS,sBM,cAll,d02,mJS4,ch05,120,[139.],[144.],139.0,144.0,141.5,139.0,144.0,139.0,139.0,144.0,141.5
gHO_sFM_cAll_d19_mHO4_ch05,gHO,sFM,cAll,d19,mHO4,ch05,130,[128. 144. 124.  70.],[138.  90. 111. 135.],116.5,118.5,117.5,70.0,90.0,70.0,126.0,123.0,126.0
gKR_sBM_cAll_d28_mKR2_ch02,gKR,sBM,cAll,d28,mKR2,ch02,100,[144. 144.],[100. 143.],144.0,121.5,132.75,144.0,100.0,144.0,144.0,121.5,143.5
gLO_sBM_cAll_d13_mLO2_ch10,gLO,sBM,cAll,d13,mLO2,ch10,100,[103.  98.],[123. 144.],100.5,133.5,117.0,98.0,123.0,98.0,100.5,133.5,113.0
gJB_sBM_cAll_d09_mJB2_ch09,gJB,sBM,cAll,d09,mJB2,ch09,100,[113. 144.],[ 81. 133.],128.5,107.0,117.75,113.0,81.0,81.0,128.5,107.0,123.0
gLO_sBM_cAll_d15_mLO5_ch06,gLO,sBM,cAll,d15,mLO5,ch06,130,[97.],[102.],97.0,102.0,99.5,97.0,102.0,97.0,97.0,102.0,99.5
gLO_sBM_cAll_d15_mLO3_ch04,gLO,sBM,cAll,d15,mLO3,ch04,110,[138. 105.],[ 99. 118.],121.5,108.5,115.0,105.0,99.0,99.0,121.5,108.5,111.5
gKR_sBM_cAll_d28_mKR0_ch02,gKR,sBM,cAll,d28,mKR0,ch02,80,[ 85. 123.],[144. 121.],104.0,132.5,118.25,85.0,121.0,85.0,104.0,132.5,122.0
gKR_sBM_cAll_d28_mKR2_ch09,gKR,sBM,cAll,d28,mKR2,ch09,100,[127. 118.],[101.  99.],122.5,100.0,111.25,118.0,99.0,99.0,122.5,100.0,109.5
gHO_sBM_cAll_d21_mHO4_ch02,gHO,sBM,cAll,d21,mHO4,ch02,130,[81.],[129.],81.0,129.0,105.0,81.0,129.0,81.0,81.0,129.0,105.0
gJB_sBM_cAll_d08_mJB1_ch10,gJB,sBM,cAll,d08,mJB1,ch10,90,[118. 112.],[106. 117.],115.0,111.5,113.25,112.0,106.0,106.0,115.0,111.5,114.5
gKR_sBM_cAll_d30_mKR4_ch04,gKR,sBM,cAll,d30,mKR4,ch04,120,[144.],[120.],144.0,120.0,132.0,144.0,120.0,120.0,144.0,120.0,132.0
gPO_sBM_cAll_d12_mPO5_ch10,gPO,sBM,cAll,d12,mPO5,ch10,130,[144.],[113.],144.0,113.0,128.5,144.0,113.0,113.0,144.0,113.0,128.5
gLO_sBM_cAll_d13_mLO3_ch06,gLO,sBM,cAll,d13,mLO3,ch06,110,[138. 143.],[89. 76.],140.5,82.5,111.5,138.0,76.0,76.0,140.5,82.5,113.5
gLH_sBM_cAll_d16_mLH2_ch06,gLH,sBM,cAll,d16,mLH2,ch06,100,[83. 97.],[138.  99.],90.0,118.5,104.25,83.0,99.0,83.0,90.0,118.5,98.0
gLH_sBM_cAll_d16_mLH1_ch10,gLH,sBM,cAll,d16,mLH1,ch10,90,[ 99. 142.],[96. 88.],120.5,92.0,106.25,99.0,88.0,88.0,120.5,92.0,97.5
gBR_sBM_cAll_d04_mBR1_ch01,gBR,sBM,cAll,d04,mBR1,ch01,90,[134. 134.],[93. 91.],134.0,92.0,113.0,134.0,91.0,134.0,134.0,92.0,113.5
gWA_sFM_cAll_d27_mWA0_ch15,gWA,sFM,cAll,d27,mWA0,ch15,80,[ 92. 144. 134. 131. 101. 107.],[144. 134.  86. 131.  89.  79.],118.17,110.5,114.33333333333333,92.0,79.0,131.0,119.0,110.0,119.0
gLH_sBM_cAll_d18_mLH5_ch06,gLH,sBM,cAll,d18,mLH5,ch06,130,[132.],[136.],132.0,136.0,134.0,132.0,136.0,132.0,132.0,136.0,134.0
gHO_sBM_cAll_d21_mHO3_ch09,gHO,sBM,cAll,d21,mHO3,ch09,125,[125.],[127.],125.0,127.0,126.0,125.0,127.0,125.0,125.0,127.0,126.0
gJB_sBM_cAll_d08_mJB1_ch05,gJB,sBM,cAll,d08,mJB1,ch05,90,[77. 80.],[105.  75.],78.5,90.0,84.25,77.0,75.0,75.0,78.5,90.0,78.5
