filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,X_a,Y_a,bpm_mode,bpm_median,mode_x,mode_y,median_x,median_y
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,164.6,146.2,164.0,164.5,164.0,164.0,164.0,164.0
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,151.88,143.88,99.0,166.0,164.0,164.0,164.5,164.5
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,112.2,143.2,99.0,129.0,99.0,99.0,103.0,103.0
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,146.4,129.6,147.0,136.0,110.0,110.0,162.0,162.0
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,128.2,129.4,130.0,130.0,86.0,86.0,118.0,118.0
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,157.12,130.0,133.0,139.5,141.0,141.0,164.5,164.5
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,110.8,130.8,92.0,105.5,82.0,82.0,89.0,89.0
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,123.8,148.2,60.0,146.5,60.0,60.0,139.0,139.0
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,80.0,159.2,80.0,118.0,80.0,80.0,80.0,80.0
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,132.0,136.2,136.0,141.0,136.0,136.0,136.0,136.0
gHO_sBM_cAll_d20_mHO0_ch01,gHO,sBM,cAll,d20,mHO0,ch01,110,146.6,140.8,139.0,139.5,128.0,128.0,137.0,137.0
gLO_sBM_cAll_d13_mLO1_ch02,gLO,sBM,cAll,d13,mLO1,ch02,90,90.17,154.17,90.0,113.5,90.0,90.0,90.0,90.0
gPO_sBM_cAll_d12_mPO5_ch08,gPO,sBM,cAll,d12,mPO5,ch08,130,119.12,172.5,86.0,165.0,86.0,86.0,113.5,113.5
gKR_sBM_cAll_d30_mKR5_ch08,gKR,sBM,cAll,d30,mKR5,ch08,130,135.25,124.0,131.0,131.0,166.0,166.0,149.0,149.0
gBR_sBM_cAll_d06_mBR5_ch04,gBR,sBM,cAll,d06,mBR5,ch04,130,152.75,132.5,132.0,133.5,167.0,167.0,165.5,165.5
gJS_sBM_cAll_d01_mJS2_ch03,gJS,sBM,cAll,d01,mJS2,ch03,100,134.4,131.0,150.0,146.0,150.0,150.0,150.0,150.0
gBR_sBM_cAll_d04_mBR1_ch03,gBR,sBM,cAll,d04,mBR1,ch03,90,143.67,149.0,179.0,137.5,137.0,137.0,137.0,137.0
gJS_sBM_cAll_d02_mJS0_ch10,gJS,sBM,cAll,d02,mJS0,ch10,80,119.0,142.0,139.0,136.5,86.0,86.0,121.0,121.0
gLO_sBM_cAll_d15_mLO4_ch01,gLO,sBM,cAll,d15,mLO4,ch01,120,119.2,106.2,76.0,109.5,106.0,106.0,110.0,110.0
gPO_sBM_cAll_d10_mPO1_ch02,gPO,sBM,cAll,d10,mPO1,ch02,90,123.0,151.17,93.0,129.5,93.0,93.0,120.5,120.5
gJS_sBM_cAll_d02_mJS4_ch08,gJS,sBM,cAll,d02,mJS4,ch08,120,117.2,173.0,121.0,137.0,121.0,121.0,118.0,118.0
gBR_sBM_cAll_d05_mBR4_ch06,gBR,sBM,cAll,d05,mBR4,ch06,120,104.8,92.0,64.0,91.5,64.0,64.0,89.0,89.0
gJS_sBM_cAll_d02_mJS5_ch03,gJS,sBM,cAll,d02,mJS5,ch03,130,122.88,127.5,142.0,115.5,179.0,179.0,104.0,104.0
gBR_sBM_cAll_d06_mBR3_ch06,gBR,sBM,cAll,d06,mBR3,ch06,110,162.0,102.2,171.0,150.0,171.0,171.0,168.0,168.0
gBR_sBM_cAll_d04_mBR2_ch07,gBR,sBM,cAll,d04,mBR2,ch07,100,158.4,127.0,179.0,140.5,128.0,128.0,154.0,154.0
gPO_sBM_cAll_d11_mPO1_ch01,gPO,sBM,cAll,d11,mPO1,ch01,90,90.33,163.33,179.0,134.5,69.0,69.0,69.0,69.0
gBR_sBM_cAll_d04_mBR0_ch05,gBR,sBM,cAll,d04,mBR0,ch05,80,142.8,111.4,79.0,129.0,119.0,119.0,143.0,143.0
gKR_sBM_cAll_d30_mKR5_ch01,gKR,sBM,cAll,d30,mKR5,ch01,130,106.0,107.5,95.0,110.5,130.0,130.0,126.5,126.5
gMH_sBM_cAll_d22_mMH1_ch06,gMH,sBM,cAll,d22,mMH1,ch06,90,164.5,124.67,179.0,137.0,179.0,179.0,179.0,179.0
gJS_sBM_cAll_d03_mJS3_ch09,gJS,sBM,cAll,d03,mJS3,ch09,110,146.0,129.8,139.0,139.0,139.0,139.0,139.0,139.0
gHO_sBM_cAll_d21_mHO2_ch08,gHO,sBM,cAll,d21,mHO2,ch08,120,151.8,135.2,179.0,150.0,179.0,179.0,178.0,178.0
gJB_sFM_cAll_d09_mJB0_ch15,gJB,sFM,cAll,d09,mJB0,ch15,80,119.2,112.2,84.0,106.0,84.0,84.0,135.0,135.0
gLO_sBM_cAll_d15_mLO4_ch09,gLO,sBM,cAll,d15,mLO4,ch09,120,135.4,98.8,91.0,114.5,99.0,99.0,145.0,145.0
gWA_sFM_cAll_d25_mWA0_ch01,gWA,sFM,cAll,d25,mWA0,ch01,80,97.6,159.8,160.0,137.0,79.0,79.0,101.0,101.0
gWA_sBM_cAll_d27_mWA5_ch01,gWA,sBM,cAll,d27,mWA5,ch01,130,118.38,138.5,144.0,135.0,144.0,144.0,109.0,109.0
gWA_sBM_cAll_d25_mWA0_ch03,gWA,sBM,cAll,d25,mWA0,ch03,80,113.8,130.2,92.0,120.5,92.0,92.0,106.0,106.0
gLH_sFM_cAll_d16_mLH5_ch06,gLH,sFM,cAll,d16,mLH5,ch06,130,129.2,129.6,112.0,126.5,112.0,112.0,112.0,112.0
gBR_sBM_cAll_d04_mBR1_ch06,gBR,sBM,cAll,d04,mBR1,ch06,90,151.83,172.33,179.0,178.0,179.0,179.0,141.5,141.5
gLH_sBM_cAll_d16_mLH0_ch03,gLH,sBM,cAll,d16,mLH0,ch03,80,122.8,103.4,60.0,98.5,60.0,60.0,157.0,157.0
gMH_sBM_cAll_d23_mMH5_ch10,gMH,sBM,cAll,d23,mMH5,ch10,130,151.38,117.75,118.0,130.5,150.0,150.0,148.5,148.5
gKR_sFM_cAll_d28_mKR2_ch03,gKR,sFM,cAll,d28,mKR2,ch03,100,105.8,112.6,109.0,109.0,109.0,109.0,109.0,109.0
gPO_sBM_cAll_d10_mPO2_ch05,gPO,sBM,cAll,d10,mPO2,ch05,100,152.4,126.8,159.0,137.5,159.0,159.0,159.0,159.0
gWA_sBM_cAll_d26_mWA5_ch01,gWA,sBM,cAll,d26,mWA5,ch01,130,113.75,157.12,179.0,128.5,105.0,105.0,111.0,111.0
gLO_sBM_cAll_d14_mLO4_ch10,gLO,sBM,cAll,d14,mLO4,ch10,120,87.8,151.8,60.0,142.0,60.0,60.0,61.0,61.0
gLH_sBM_cAll_d18_mLH3_ch03,gLH,sBM,cAll,d18,mLH3,ch03,110,135.4,125.0,107.0,131.0,111.0,111.0,127.0,127.0
gJS_sBM_cAll_d03_mJS4_ch04,gJS,sBM,cAll,d03,mJS4,ch04,120,104.8,157.6,128.0,128.0,67.0,67.0,125.0,125.0
gBR_sFM_cAll_d06_mBR4_ch18,gBR,sFM,cAll,d06,mBR4,ch18,120,107.0,135.0,114.0,116.5,114.0,114.0,114.0,114.0
gPO_sBM_cAll_d10_mPO0_ch01,gPO,sBM,cAll,d10,mPO0,ch01,80,84.8,109.2,61.0,97.5,61.0,61.0,63.0,63.0
gLO_sBM_cAll_d14_mLO0_ch02,gLO,sBM,cAll,d14,mLO0,ch02,80,139.2,133.0,135.0,141.5,85.0,85.0,152.0,152.0
