filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,X_a,Y_a,bpm_mode,bpm_median,mode_x,mode_y,median_x,median_y
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,112.0,111.8,111.0,111.0,110.0,110.0,111.0,111.0
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,101.38,134.75,135.0,118.0,102.0,102.0,102.0,102.0
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,104.4,102.8,101.0,101.5,100.0,100.0,101.0,101.0
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,100.0,108.2,107.0,109.0,71.0,71.0,114.0,114.0
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,141.0,96.8,84.0,116.0,84.0,84.0,148.0,148.0
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,150.12,136.88,168.0,138.5,168.0,168.0,168.0,168.0
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,128.0,112.6,133.0,132.5,133.0,133.0,133.0,133.0
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,134.4,101.6,100.0,102.0,99.0,99.0,126.0,126.0
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,135.0,160.8,162.0,160.5,162.0,162.0,131.0,131.0
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,115.8,137.0,140.0,140.0,68.0,68.0,140.0,140.0
gHO_sBM_cAll_d20_mHO0_ch01,gHO,sBM,cAll,d20,mHO0,ch01,110,83.8,110.0,84.0,95.0,84.0,84.0,84.0,84.0
gLO_sBM_cAll_d13_mLO1_ch02,gLO,sBM,cAll,d13,mLO1,ch02,90,90.33,90.17,91.0,90.5,91.0,91.0,91.0,91.0
gPO_sBM_cAll_d12_mPO5_ch08,gPO,sBM,cAll,d12,mPO5,ch08,130,79.38,111.25,64.0,80.5,80.0,80.0,80.0,80.0
gKR_sBM_cAll_d30_mKR5_ch08,gKR,sBM,cAll,d30,mKR5,ch08,130,95.62,128.0,96.0,110.0,96.0,96.0,96.0,96.0
gBR_sBM_cAll_d06_mBR5_ch04,gBR,sBM,cAll,d06,mBR5,ch04,130,167.0,105.25,162.0,162.0,162.0,162.0,166.0,166.0
gJS_sBM_cAll_d01_mJS2_ch03,gJS,sBM,cAll,d01,mJS2,ch03,100,115.0,117.2,68.0,107.0,68.0,68.0,117.0,117.0
gBR_sBM_cAll_d04_mBR1_ch03,gBR,sBM,cAll,d04,mBR1,ch03,90,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0
gJS_sBM_cAll_d02_mJS0_ch10,gJS,sBM,cAll,d02,mJS0,ch10,80,110.8,132.8,88.0,120.5,88.0,88.0,103.0,103.0
gLO_sBM_cAll_d15_mLO4_ch01,gLO,sBM,cAll,d15,mLO4,ch01,120,130.6,134.4,154.0,127.0,110.0,110.0,130.0,130.0
gPO_sBM_cAll_d10_mPO1_ch02,gPO,sBM,cAll,d10,mPO1,ch02,90,127.83,146.67,129.0,140.5,129.0,129.0,129.0,129.0
gJS_sBM_cAll_d02_mJS4_ch08,gJS,sBM,cAll,d02,mJS4,ch08,120,89.8,60.0,60.0,74.0,89.0,89.0,89.0,89.0
gBR_sBM_cAll_d05_mBR4_ch06,gBR,sBM,cAll,d05,mBR4,ch06,120,139.4,178.6,179.0,165.0,153.0,153.0,149.0,149.0
gJS_sBM_cAll_d02_mJS5_ch03,gJS,sBM,cAll,d02,mJS5,ch03,130,97.38,97.5,89.0,89.0,81.0,81.0,86.5,86.5
gBR_sBM_cAll_d06_mBR3_ch06,gBR,sBM,cAll,d06,mBR3,ch06,110,138.6,166.8,166.0,155.0,133.0,133.0,138.0,138.0
gBR_sBM_cAll_d04_mBR2_ch07,gBR,sBM,cAll,d04,mBR2,ch07,100,92.6,136.8,150.0,119.5,73.0,73.0,76.0,76.0
gPO_sBM_cAll_d11_mPO1_ch01,gPO,sBM,cAll,d11,mPO1,ch01,90,68.83,91.5,68.0,79.5,68.0,68.0,68.5,68.5
gBR_sBM_cAll_d04_mBR0_ch05,gBR,sBM,cAll,d04,mBR0,ch05,80,140.6,112.0,139.0,139.0,139.0,139.0,141.0,141.0
gKR_sBM_cAll_d30_mKR5_ch01,gKR,sBM,cAll,d30,mKR5,ch01,130,161.5,66.5,64.0,114.0,158.0,158.0,161.5,161.5
gMH_sBM_cAll_d22_mMH1_ch06,gMH,sBM,cAll,d22,mMH1,ch06,90,98.17,90.33,134.0,90.5,134.0,134.0,99.5,99.5
gJS_sBM_cAll_d03_mJS3_ch09,gJS,sBM,cAll,d03,mJS3,ch09,110,98.2,134.4,142.0,127.5,64.0,64.0,89.0,89.0
gHO_sBM_cAll_d21_mHO2_ch08,gHO,sBM,cAll,d21,mHO2,ch08,120,118.4,60.0,60.0,73.5,87.0,87.0,90.0,90.0
gJB_sFM_cAll_d09_mJB0_ch15,gJB,sFM,cAll,d09,mJB0,ch15,80,121.0,142.8,105.0,128.5,105.0,105.0,108.0,108.0
gLO_sBM_cAll_d15_mLO4_ch09,gLO,sBM,cAll,d15,mLO4,ch09,120,118.8,175.8,63.0,164.5,63.0,63.0,151.0,151.0
gWA_sFM_cAll_d25_mWA0_ch01,gWA,sFM,cAll,d25,mWA0,ch01,80,92.6,103.2,84.0,86.5,67.0,67.0,89.0,89.0
gWA_sBM_cAll_d27_mWA5_ch01,gWA,sBM,cAll,d27,mWA5,ch01,130,131.62,107.62,119.0,121.0,119.0,119.0,119.5,119.5
gWA_sBM_cAll_d25_mWA0_ch03,gWA,sBM,cAll,d25,mWA0,ch03,80,173.4,151.6,172.0,172.0,179.0,179.0,173.0,173.0
gLH_sFM_cAll_d16_mLH5_ch06,gLH,sFM,cAll,d16,mLH5,ch06,130,131.4,100.0,100.0,104.0,174.0,174.0,106.0,106.0
gBR_sBM_cAll_d04_mBR1_ch06,gBR,sBM,cAll,d04,mBR1,ch06,90,125.17,140.33,110.0,135.5,110.0,110.0,111.5,111.5
gLH_sBM_cAll_d16_mLH0_ch03,gLH,sBM,cAll,d16,mLH0,ch03,80,117.2,93.2,80.0,80.5,80.0,80.0,81.0,81.0
gMH_sBM_cAll_d23_mMH5_ch10,gMH,sBM,cAll,d23,mMH5,ch10,130,87.12,115.25,89.0,89.0,88.0,88.0,88.0,88.0
gKR_sFM_cAll_d28_mKR2_ch03,gKR,sFM,cAll,d28,mKR2,ch03,100,117.8,124.8,160.0,120.0,91.0,91.0,129.0,129.0
gPO_sBM_cAll_d10_mPO2_ch05,gPO,sBM,cAll,d10,mPO2,ch05,100,142.6,129.6,126.0,128.5,97.0,97.0,132.0,132.0
gWA_sBM_cAll_d26_mWA5_ch01,gWA,sBM,cAll,d26,mWA5,ch01,130,134.25,123.25,97.0,127.0,97.0,97.0,142.5,142.5
gLO_sBM_cAll_d14_mLO4_ch10,gLO,sBM,cAll,d14,mLO4,ch10,120,89.2,111.4,62.0,97.0,62.0,62.0,66.0,66.0
gLH_sBM_cAll_d18_mLH3_ch03,gLH,sBM,cAll,d18,mLH3,ch03,110,123.6,112.8,110.0,112.5,78.0,78.0,135.0,135.0
gJS_sBM_cAll_d03_mJS4_ch04,gJS,sBM,cAll,d03,mJS4,ch04,120,117.6,119.8,61.0,124.0,100.0,100.0,105.0,105.0
gBR_sFM_cAll_d06_mBR4_ch18,gBR,sFM,cAll,d06,mBR4,ch18,120,102.8,113.2,83.0,112.5,83.0,83.0,109.0,109.0
gPO_sBM_cAll_d10_mPO0_ch01,gPO,sBM,cAll,d10,mPO0,ch01,80,84.2,109.0,60.0,81.0,60.0,60.0,61.0,61.0
gLO_sBM_cAll_d14_mLO0_ch02,gLO,sBM,cAll,d14,mLO0,ch02,80,80.2,81.0,77.0,81.0,82.0,82.0,81.0,81.0
gBR_sBM_cAll_d05_mBR4_ch01,gBR,sBM,cAll,d05,mBR4,ch01,120,129.8,122.0,121.0,122.5,120.0,120.0,123.0,123.0
gLH_sBM_cAll_d17_mLH5_ch02,gLH,sBM,cAll,d17,mLH5,ch02,130,128.12,128.75,129.0,129.0,94.0,94.0,127.5,127.5
