filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,X_a,Y_a,bpm_mode,bpm_median,mode_x,mode_y,median_x,median_y
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,108.4,164.2,107.0,160.0,107.0,107.0,107.0,107.0
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,136.25,129.75,135.0,135.0,135.0,135.0,136.5,136.5
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,141.4,115.6,101.0,113.5,108.0,108.0,142.0,142.0
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,128.4,131.8,121.0,132.0,121.0,121.0,128.0,128.0
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,142.6,137.8,103.0,134.5,103.0,103.0,129.0,129.0
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,139.5,92.38,68.0,134.0,137.0,137.0,138.5,138.5
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,103.8,151.4,80.0,128.5,80.0,80.0,113.0,113.0
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,123.2,109.2,102.0,104.0,104.0,104.0,104.0,104.0
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,114.4,162.4,80.0,157.5,80.0,80.0,108.0,108.0
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,125.2,134.8,110.0,115.5,111.0,111.0,117.0,117.0
gHO_sBM_cAll_d20_mHO0_ch01,gHO,sBM,cAll,d20,mHO0,ch01,110,165.8,145.6,163.0,165.5,167.0,167.0,167.0,167.0
gLO_sBM_cAll_d13_mLO1_ch02,gLO,sBM,cAll,d13,mLO1,ch02,90,168.33,121.0,179.0,164.5,177.0,177.0,174.0,174.0
gPO_sBM_cAll_d12_mPO5_ch08,gPO,sBM,cAll,d12,mPO5,ch08,130,129.75,108.12,130.0,128.0,130.0,130.0,130.0,130.0
gKR_sBM_cAll_d30_mKR5_ch08,gKR,sBM,cAll,d30,mKR5,ch08,130,91.12,87.62,61.0,68.0,63.0,63.0,70.0,70.0
gBR_sBM_cAll_d06_mBR5_ch04,gBR,sBM,cAll,d06,mBR5,ch04,130,86.75,162.88,164.0,157.5,63.0,63.0,69.5,69.5
gJS_sBM_cAll_d01_mJS2_ch03,gJS,sBM,cAll,d01,mJS2,ch03,100,122.4,130.6,93.0,135.5,92.0,92.0,131.0,131.0
gBR_sBM_cAll_d04_mBR1_ch03,gBR,sBM,cAll,d04,mBR1,ch03,90,136.17,135.17,135.0,136.0,135.0,135.0,136.0,136.0
gJS_sBM_cAll_d02_mJS0_ch10,gJS,sBM,cAll,d02,mJS0,ch10,80,114.0,122.6,102.0,117.0,102.0,102.0,117.0,117.0
gLO_sBM_cAll_d15_mLO4_ch01,gLO,sBM,cAll,d15,mLO4,ch01,120,136.2,131.4,161.0,126.5,161.0,161.0,134.0,134.0
gPO_sBM_cAll_d10_mPO1_ch02,gPO,sBM,cAll,d10,mPO1,ch02,90,138.67,134.0,139.0,138.5,139.0,139.0,139.0,139.0
gJS_sBM_cAll_d02_mJS4_ch08,gJS,sBM,cAll,d02,mJS4,ch08,120,107.4,169.4,179.0,176.5,60.0,60.0,61.0,61.0
gBR_sBM_cAll_d05_mBR4_ch06,gBR,sBM,cAll,d05,mBR4,ch06,120,132.6,136.0,61.0,133.0,119.0,119.0,122.0,122.0
gJS_sBM_cAll_d02_mJS5_ch03,gJS,sBM,cAll,d02,mJS5,ch03,130,128.25,113.62,158.0,126.0,104.0,104.0,126.0,126.0
gBR_sBM_cAll_d06_mBR3_ch06,gBR,sBM,cAll,d06,mBR3,ch06,110,139.4,116.6,138.0,138.0,90.0,90.0,165.0,165.0
gBR_sBM_cAll_d04_mBR2_ch07,gBR,sBM,cAll,d04,mBR2,ch07,100,131.4,99.2,126.0,125.5,126.0,126.0,126.0,126.0
gPO_sBM_cAll_d11_mPO1_ch01,gPO,sBM,cAll,d11,mPO1,ch01,90,137.83,150.33,132.0,137.0,132.0,132.0,137.0,137.0
gBR_sBM_cAll_d04_mBR0_ch05,gBR,sBM,cAll,d04,mBR0,ch05,80,134.4,99.2,80.0,107.5,101.0,101.0,118.0,118.0
gKR_sBM_cAll_d30_mKR5_ch01,gKR,sBM,cAll,d30,mKR5,ch01,130,109.75,159.25,94.0,143.0,94.0,94.0,94.5,94.5
gMH_sBM_cAll_d22_mMH1_ch06,gMH,sBM,cAll,d22,mMH1,ch06,90,129.17,126.83,135.0,136.5,135.0,135.0,135.0,135.0
gJS_sBM_cAll_d03_mJS3_ch09,gJS,sBM,cAll,d03,mJS3,ch09,110,141.0,107.6,64.0,118.0,114.0,114.0,147.0,147.0
gHO_sBM_cAll_d21_mHO2_ch08,gHO,sBM,cAll,d21,mHO2,ch08,120,120.6,120.2,121.0,120.5,121.0,121.0,121.0,121.0
gJB_sFM_cAll_d09_mJB0_ch15,gJB,sFM,cAll,d09,mJB0,ch15,80,107.2,139.4,101.0,103.0,89.0,89.0,101.0,101.0
gLO_sBM_cAll_d15_mLO4_ch09,gLO,sBM,cAll,d15,mLO4,ch09,120,95.8,142.4,120.0,120.0,60.0,60.0,117.0,117.0
gWA_sFM_cAll_d25_mWA0_ch01,gWA,sFM,cAll,d25,mWA0,ch01,80,135.0,149.0,169.0,163.5,98.0,98.0,122.0,122.0
gWA_sBM_cAll_d27_mWA5_ch01,gWA,sBM,cAll,d27,mWA5,ch01,130,171.62,101.12,168.0,149.5,168.0,168.0,168.5,168.5
gWA_sBM_cAll_d25_mWA0_ch03,gWA,sBM,cAll,d25,mWA0,ch03,80,84.0,116.6,60.0,89.5,60.0,60.0,73.0,73.0
gLH_sFM_cAll_d16_mLH5_ch06,gLH,sFM,cAll,d16,mLH5,ch06,130,120.6,131.8,137.0,130.5,155.0,155.0,104.0,104.0
gBR_sBM_cAll_d04_mBR1_ch06,gBR,sBM,cAll,d04,mBR1,ch06,90,127.5,100.83,88.0,111.5,111.0,111.0,114.0,114.0
gLH_sBM_cAll_d16_mLH0_ch03,gLH,sBM,cAll,d16,mLH0,ch03,80,128.2,107.8,120.0,120.0,120.0,120.0,120.0,120.0
gMH_sBM_cAll_d23_mMH5_ch10,gMH,sBM,cAll,d23,mMH5,ch10,130,139.5,177.75,177.0,177.0,119.0,119.0,119.0,119.0
gKR_sFM_cAll_d28_mKR2_ch03,gKR,sFM,cAll,d28,mKR2,ch03,100,121.6,124.2,86.0,118.5,86.0,86.0,110.0,110.0
gPO_sBM_cAll_d10_mPO2_ch05,gPO,sBM,cAll,d10,mPO2,ch05,100,145.8,121.4,132.0,124.5,171.0,171.0,171.0,171.0
gWA_sBM_cAll_d26_mWA5_ch01,gWA,sBM,cAll,d26,mWA5,ch01,130,143.12,115.12,130.0,132.5,164.0,164.0,158.5,158.5
