filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,X_a,Y_a,bpm_mode,bpm_median,mode_x,mode_y,median_x,median_y
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,70.0,110.6,70.0,88.0,70.0,70.0,70.0,70.0
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,102.25,104.25,102.0,102.0,102.0,102.0,102.0,102.0
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,110.4,120.0,101.0,106.5,99.0,99.0,103.0,103.0
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,91.8,117.0,81.0,109.0,81.0,81.0,83.0,83.0
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,107.2,92.2,70.0,92.0,70.0,70.0,96.0,96.0
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,127.5,130.0,134.0,133.5,102.0,102.0,132.5,132.5
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,113.6,97.4,92.0,94.0,86.0,86.0,107.0,107.0
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,102.4,109.6,70.0,102.0,70.0,70.0,122.0,122.0
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,70.0,100.0,70.0,74.5,70.0,70.0,70.0,70.0
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,73.0,76.4,78.0,76.0,70.0,70.0,73.0,73.0
gHO_sBM_cAll_d20_mHO0_ch01,gHO,sBM,cAll,d20,mHO0,ch01,110,84.2,140.8,84.0,113.0,84.0,84.0,84.0,84.0
gLO_sBM_cAll_d13_mLO1_ch02,gLO,sBM,cAll,d13,mLO1,ch02,90,89.33,124.5,90.0,100.0,90.0,90.0,90.0,90.0
gPO_sBM_cAll_d12_mPO5_ch08,gPO,sBM,cAll,d12,mPO5,ch08,130,109.12,113.0,114.0,113.5,96.0,96.0,96.5,96.5
gKR_sBM_cAll_d30_mKR5_ch08,gKR,sBM,cAll,d30,mKR5,ch08,130,94.25,124.0,70.0,126.5,70.0,70.0,96.0,96.0
gBR_sBM_cAll_d06_mBR5_ch04,gBR,sBM,cAll,d06,mBR5,ch04,130,126.38,132.5,132.0,132.0,101.0,101.0,132.5,132.5
gJS_sBM_cAll_d01_mJS2_ch03,gJS,sBM,cAll,d01,mJS2,ch03,100,115.4,108.2,80.0,115.0,109.0,109.0,116.0,116.0
gBR_sBM_cAll_d04_mBR1_ch03,gBR,sBM,cAll,d04,mBR1,ch03,90,70.0,92.83,70.0,80.0,70.0,70.0,70.0,70.0
gJS_sBM_cAll_d02_mJS0_ch10,gJS,sBM,cAll,d02,mJS0,ch10,80,119.0,139.4,139.0,136.5,86.0,86.0,121.0,121.0
gLO_sBM_cAll_d15_mLO4_ch01,gLO,sBM,cAll,d15,mLO4,ch01,120,89.8,105.6,79.0,83.5,79.0,79.0,79.0,79.0
