filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,X_a,Y_a,bpm_mode,bpm_median,mode_x,mode_y,median_x,median_y
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,112.0,107.2,111.0,111.0,110.0,110.0,111.0,111.0
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,127.62,134.62,135.0,134.0,134.0,134.0,134.0,134.0
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,112.0,98.8,103.0,103.0,95.0,95.0,108.0,108.0
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,107.6,115.6,80.0,123.0,82.0,82.0,122.0,122.0
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,97.6,134.2,71.0,127.5,71.0,71.0,76.0,76.0
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,96.88,102.25,94.0,94.0,70.0,70.0,95.5,95.5
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,128.4,134.4,133.0,137.5,133.0,133.0,133.0,133.0
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,128.0,101.8,144.0,127.0,122.0,122.0,129.0,129.0
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,122.2,92.6,130.0,110.0,130.0,130.0,130.0,130.0
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,137.4,104.4,110.0,119.0,139.0,139.0,139.0,139.0
gHO_sBM_cAll_d20_mHO0_ch01,gHO,sBM,cAll,d20,mHO0,ch01,110,118.6,110.0,83.0,111.0,83.0,83.0,139.0,139.0
gLO_sBM_cAll_d13_mLO1_ch02,gLO,sBM,cAll,d13,mLO1,ch02,90,94.33,91.33,91.0,90.5,91.0,91.0,91.0,91.0
gPO_sBM_cAll_d12_mPO5_ch08,gPO,sBM,cAll,d12,mPO5,ch08,130,125.25,119.25,132.0,120.0,132.0,132.0,128.5,128.5
gKR_sBM_cAll_d30_mKR5_ch08,gKR,sBM,cAll,d30,mKR5,ch08,130,87.5,117.25,70.0,96.0,70.0,70.0,70.0,70.0
gBR_sBM_cAll_d06_mBR5_ch04,gBR,sBM,cAll,d06,mBR5,ch04,130,88.5,132.62,70.0,131.0,70.0,70.0,70.0,70.0
gJS_sBM_cAll_d01_mJS2_ch03,gJS,sBM,cAll,d01,mJS2,ch03,100,103.2,124.6,97.0,121.0,97.0,97.0,97.0,97.0
gBR_sBM_cAll_d04_mBR1_ch03,gBR,sBM,cAll,d04,mBR1,ch03,90,137.0,134.83,136.0,136.0,136.0,136.0,136.0,136.0
gJS_sBM_cAll_d02_mJS0_ch10,gJS,sBM,cAll,d02,mJS0,ch10,80,99.6,122.6,103.0,107.0,103.0,103.0,103.0,103.0
gLO_sBM_cAll_d15_mLO4_ch01,gLO,sBM,cAll,d15,mLO4,ch01,120,123.4,81.4,76.0,99.0,110.0,110.0,126.0,126.0
gPO_sBM_cAll_d10_mPO1_ch02,gPO,sBM,cAll,d10,mPO1,ch02,90,137.17,117.17,139.0,132.5,139.0,139.0,139.0,139.0
gJS_sBM_cAll_d02_mJS4_ch08,gJS,sBM,cAll,d02,mJS4,ch08,120,115.4,111.8,118.0,119.0,97.0,97.0,119.0,119.0
gBR_sBM_cAll_d05_mBR4_ch06,gBR,sBM,cAll,d05,mBR4,ch06,120,114.0,114.4,144.0,118.5,144.0,144.0,97.0,97.0
gJS_sBM_cAll_d02_mJS5_ch03,gJS,sBM,cAll,d02,mJS5,ch03,130,111.25,116.12,144.0,113.0,112.0,112.0,113.0,113.0
gBR_sBM_cAll_d06_mBR3_ch06,gBR,sBM,cAll,d06,mBR3,ch06,110,121.0,102.0,109.0,109.5,108.0,108.0,111.0,111.0
gBR_sBM_cAll_d04_mBR2_ch07,gBR,sBM,cAll,d04,mBR2,ch07,100,85.4,116.6,72.0,102.0,72.0,72.0,76.0,76.0
gPO_sBM_cAll_d11_mPO1_ch01,gPO,sBM,cAll,d11,mPO1,ch01,90,121.5,91.33,88.0,101.5,144.0,144.0,112.5,112.5
