filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,X_a,Y_a,bpm_mode,bpm_median,mode_x,mode_y,median_x,median_y
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,135.2,147.2,173.0,141.0,108.0,108.0,110.0,110.0
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,151.62,146.12,137.0,138.0,137.0,137.0,137.5,137.5
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,129.4,136.8,122.0,123.0,122.0,122.0,122.0,122.0
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,147.2,148.6,119.0,150.5,119.0,119.0,151.0,151.0
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,153.8,135.6,127.0,140.5,127.0,127.0,149.0,149.0
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,135.25,134.38,132.0,134.0,132.0,132.0,135.0,135.0
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,128.0,169.6,136.0,151.0,136.0,136.0,136.0,136.0
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,162.4,158.6,151.0,158.0,158.0,158.0,158.0,158.0
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,79.6,160.4,160.0,120.0,80.0,80.0,80.0,80.0
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,124.4,152.6,141.0,141.0,148.0,148.0,112.0,112.0
gHO_sBM_cAll_d20_mHO0_ch01,gHO,sBM,cAll,d20,mHO0,ch01,110,167.0,140.4,139.0,154.0,162.0,162.0,166.0,166.0
gLO_sBM_cAll_d13_mLO1_ch02,gLO,sBM,cAll,d13,mLO1,ch02,90,154.83,143.0,179.0,144.5,179.0,179.0,166.0,166.0
