filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,X_a,Y_a,bpm_mode,bpm_median,mode_x,mode_y,median_x,median_y
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,123.0,111.8,113.0,113.0,111.0,111.0,113.0,113.0
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,118.75,138.12,135.0,135.0,102.0,102.0,119.0,119.0
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,121.8,113.6,137.0,115.5,137.0,137.0,137.0,137.0
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,119.4,129.2,112.0,120.0,112.0,112.0,112.0,112.0
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,132.8,102.0,144.0,120.5,144.0,144.0,131.0,131.0
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,102.0,134.38,102.0,121.0,102.0,102.0,102.5,102.5
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,128.8,97.4,92.0,123.5,123.0,123.0,125.0,125.0
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,118.0,110.4,99.0,117.0,105.0,105.0,123.0,123.0
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,79.8,114.4,80.0,81.0,81.0,81.0,80.0,80.0
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,113.4,105.6,72.0,112.5,83.0,83.0,113.0,113.0
gHO_sBM_cAll_d20_mHO0_ch01,gHO,sBM,cAll,d20,mHO0,ch01,110,86.2,109.8,83.0,99.0,83.0,83.0,86.0,86.0
gLO_sBM_cAll_d13_mLO1_ch02,gLO,sBM,cAll,d13,mLO1,ch02,90,122.33,112.0,135.0,132.0,135.0,135.0,135.0,135.0
gPO_sBM_cAll_d12_mPO5_ch08,gPO,sBM,cAll,d12,mPO5,ch08,130,122.38,126.12,115.0,125.5,115.0,115.0,115.5,115.5
gKR_sBM_cAll_d30_mKR5_ch08,gKR,sBM,cAll,d30,mKR5,ch08,130,98.25,127.12,128.0,110.0,96.0,96.0,98.0,98.0
gBR_sBM_cAll_d06_mBR5_ch04,gBR,sBM,cAll,d06,mBR5,ch04,130,110.88,129.0,132.0,123.0,120.0,120.0,111.5,111.5
gJS_sBM_cAll_d01_mJS2_ch03,gJS,sBM,cAll,d01,mJS2,ch03,100,130.2,118.4,142.0,139.5,112.0,112.0,137.0,137.0
gBR_sBM_cAll_d04_mBR1_ch03,gBR,sBM,cAll,d04,mBR1,ch03,90,84.33,98.83,70.0,91.0,70.0,70.0,70.0,70.0
gJS_sBM_cAll_d02_mJS0_ch10,gJS,sBM,cAll,d02,mJS0,ch10,80,123.4,133.4,118.0,126.0,118.0,118.0,118.0,118.0
gLO_sBM_cAll_d15_mLO4_ch01,gLO,sBM,cAll,d15,mLO4,ch01,120,107.6,104.0,89.0,106.5,89.0,89.0,107.0,107.0
gPO_sBM_cAll_d10_mPO1_ch02,gPO,sBM,cAll,d10,mPO1,ch02,90,120.33,120.17,132.0,127.5,81.0,81.0,127.5,127.5
gJS_sBM_cAll_d02_mJS4_ch08,gJS,sBM,cAll,d02,mJS4,ch08,120,128.4,120.2,144.0,120.0,144.0,144.0,144.0,144.0
gBR_sBM_cAll_d05_mBR4_ch06,gBR,sBM,cAll,d05,mBR4,ch06,120,92.4,116.2,90.0,94.5,90.0,90.0,93.0,93.0
gJS_sBM_cAll_d02_mJS5_ch03,gJS,sBM,cAll,d02,mJS5,ch03,130,126.88,123.25,144.0,125.0,144.0,144.0,141.5,141.5
gBR_sBM_cAll_d06_mBR3_ch06,gBR,sBM,cAll,d06,mBR3,ch06,110,105.6,111.2,111.0,111.0,110.0,110.0,110.0,110.0
gBR_sBM_cAll_d04_mBR2_ch07,gBR,sBM,cAll,d04,mBR2,ch07,100,125.4,101.8,103.0,103.0,144.0,144.0,132.0,132.0
gPO_sBM_cAll_d11_mPO1_ch01,gPO,sBM,cAll,d11,mPO1,ch01,90,97.83,136.83,139.0,124.5,85.0,85.0,92.5,92.5
gBR_sBM_cAll_d04_mBR0_ch05,gBR,sBM,cAll,d04,mBR0,ch05,80,103.2,95.8,70.0,98.5,77.0,77.0,99.0,99.0
gKR_sBM_cAll_d30_mKR5_ch01,gKR,sBM,cAll,d30,mKR5,ch01,130,120.12,128.62,127.0,129.0,144.0,144.0,130.5,130.5
gMH_sBM_cAll_d22_mMH1_ch06,gMH,sBM,cAll,d22,mMH1,ch06,90,115.67,140.0,138.0,137.0,97.0,97.0,119.0,119.0
gJS_sBM_cAll_d03_mJS3_ch09,gJS,sBM,cAll,d03,mJS3,ch09,110,131.8,125.6,144.0,127.0,126.0,126.0,130.0,130.0
gHO_sBM_cAll_d21_mHO2_ch08,gHO,sBM,cAll,d21,mHO2,ch08,120,123.6,120.6,120.0,120.0,120.0,120.0,120.0,120.0
gJB_sFM_cAll_d09_mJB0_ch15,gJB,sFM,cAll,d09,mJB0,ch15,80,91.4,128.2,83.0,105.0,83.0,83.0,85.0,85.0
gLO_sBM_cAll_d15_mLO4_ch09,gLO,sBM,cAll,d15,mLO4,ch09,120,81.2,99.2,70.0,91.5,70.0,70.0,87.0,87.0
gWA_sFM_cAll_d25_mWA0_ch01,gWA,sFM,cAll,d25,mWA0,ch01,80,121.0,122.6,130.0,124.5,130.0,130.0,130.0,130.0
gWA_sBM_cAll_d27_mWA5_ch01,gWA,sBM,cAll,d27,mWA5,ch01,130,104.12,129.75,92.0,120.0,92.0,92.0,104.0,104.0
gWA_sBM_cAll_d25_mWA0_ch03,gWA,sBM,cAll,d25,mWA0,ch03,80,138.8,125.2,144.0,137.0,134.0,134.0,138.0,138.0
gLH_sFM_cAll_d16_mLH5_ch06,gLH,sFM,cAll,d16,mLH5,ch06,130,106.2,129.6,129.0,129.0,108.0,108.0,108.0,108.0
gBR_sBM_cAll_d04_mBR1_ch06,gBR,sBM,cAll,d04,mBR1,ch06,90,121.5,91.5,90.0,102.5,110.0,110.0,121.0,121.0
gLH_sBM_cAll_d16_mLH0_ch03,gLH,sBM,cAll,d16,mLH0,ch03,80,103.6,81.0,79.0,82.0,79.0,79.0,106.0,106.0
gMH_sBM_cAll_d23_mMH5_ch10,gMH,sBM,cAll,d23,mMH5,ch10,130,89.5,118.5,119.0,104.0,89.0,89.0,89.0,89.0
gKR_sFM_cAll_d28_mKR2_ch03,gKR,sFM,cAll,d28,mKR2,ch03,100,112.0,124.4,114.0,114.0,94.0,94.0,113.0,113.0
gPO_sBM_cAll_d10_mPO2_ch05,gPO,sBM,cAll,d10,mPO2,ch05,100,124.4,142.2,144.0,139.5,96.0,96.0,126.0,126.0
gWA_sBM_cAll_d26_mWA5_ch01,gWA,sBM,cAll,d26,mWA5,ch01,130,119.0,107.0,125.0,119.0,99.0,99.0,125.5,125.5
gLO_sBM_cAll_d14_mLO4_ch10,gLO,sBM,cAll,d14,mLO4,ch10,120,111.2,120.4,122.0,121.5,70.0,70.0,126.0,126.0
gLH_sBM_cAll_d18_mLH3_ch03,gLH,sBM,cAll,d18,mLH3,ch03,110,119.2,111.8,101.0,110.5,101.0,101.0,106.0,106.0
gJS_sBM_cAll_d03_mJS4_ch04,gJS,sBM,cAll,d03,mJS4,ch04,120,120.8,118.2,130.0,121.5,106.0,106.0,119.0,119.0
gBR_sFM_cAll_d06_mBR4_ch18,gBR,sFM,cAll,d06,mBR4,ch18,120,112.0,124.8,120.0,120.0,84.0,84.0,120.0,120.0
gPO_sBM_cAll_d10_mPO0_ch01,gPO,sBM,cAll,d10,mPO0,ch01,80,117.6,100.2,80.0,101.0,101.0,101.0,101.0,101.0
gLO_sBM_cAll_d14_mLO0_ch02,gLO,sBM,cAll,d14,mLO0,ch02,80,88.2,114.0,81.0,82.0,75.0,75.0,79.0,79.0
gBR_sBM_cAll_d05_mBR4_ch01,gBR,sBM,cAll,d05,mBR4,ch01,120,111.0,126.2,124.0,124.0,144.0,144.0,92.0,92.0
gLH_sBM_cAll_d17_mLH5_ch02,gLH,sBM,cAll,d17,mLH5,ch02,130,131.75,128.62,130.0,130.0,133.0,133.0,132.5,132.5
gLO_sBM_cAll_d15_mLO4_ch08,gLO,sBM,cAll,d15,mLO4,ch08,120,109.2,120.4,120.0,120.0,144.0,144.0,87.0,87.0
gLH_sBM_cAll_d17_mLH1_ch09,gLH,sBM,cAll,d17,mLH1,ch09,90,120.17,103.17,94.0,112.0,107.0,107.0,121.5,121.5
gPO_sBM_cAll_d10_mPO1_ch03,gPO,sBM,cAll,d10,mPO1,ch03,90,107.67,122.83,128.0,117.5,90.0,90.0,108.5,108.5
gJB_sBM_cAll_d08_mJB4_ch07,gJB,sBM,cAll,d08,mJB4,ch07,120,117.0,89.0,87.0,98.0,104.0,104.0,111.0,111.0
gPO_sFM_cAll_d11_mPO0_ch08,gPO,sFM,cAll,d11,mPO0,ch08,80,120.0,115.8,79.0,126.5,100.0,100.0,124.0,124.0
gLO_sFM_cAll_d15_mLO5_ch20,gLO,sFM,cAll,d15,mLO5,ch20,130,111.6,131.4,130.0,129.5,73.0,73.0,105.0,105.0
gBR_sBM_cAll_d04_mBR2_ch01,gBR,sBM,cAll,d04,mBR2,ch01,100,73.8,101.6,75.0,87.0,75.0,75.0,74.0,74.0
gMH_sBM_cAll_d22_mMH2_ch06,gMH,sBM,cAll,d22,mMH2,ch06,100,123.0,104.4,98.0,115.0,112.0,112.0,122.0,122.0
gJS_sBM_cAll_d03_mJS5_ch01,gJS,sBM,cAll,d03,mJS5,ch01,130,137.12,131.88,144.0,137.5,137.0,137.0,137.0,137.0
gLO_sBM_cAll_d14_mLO4_ch01,gLO,sBM,cAll,d14,mLO4,ch01,120,111.0,127.2,88.0,123.5,88.0,88.0,113.0,113.0
gJB_sBM_cAll_d08_mJB4_ch09,gJB,sBM,cAll,d08,mJB4,ch09,120,131.6,113.4,144.0,126.0,144.0,144.0,142.0,142.0
gMH_sBM_cAll_d23_mMH4_ch06,gMH,sBM,cAll,d23,mMH4,ch06,120,115.2,127.0,144.0,128.5,70.0,70.0,138.0,138.0
gLO_sBM_cAll_d13_mLO1_ch05,gLO,sBM,cAll,d13,mLO1,ch05,90,105.0,136.83,82.0,127.5,82.0,82.0,108.5,108.5
gJB_sBM_cAll_d07_mJB2_ch01,gJB,sBM,cAll,d07,mJB2,ch01,100,108.0,113.0,106.0,107.5,106.0,106.0,108.0,108.0
gJS_sBM_cAll_d02_mJS4_ch05,gJS,sBM,cAll,d02,mJS4,ch05,120,126.4,113.4,127.0,127.0,144.0,144.0,132.0,132.0
gHO_sFM_cAll_d19_mHO4_ch05,gHO,sFM,cAll,d19,mHO4,ch05,130,96.2,130.0,130.0,119.0,82.0,82.0,93.0,93.0
gKR_sBM_cAll_d28_mKR2_ch02,gKR,sBM,cAll,d28,mKR2,ch02,100,103.0,144.0,144.0,126.5,99.0,99.0,102.0,102.0
gLO_sBM_cAll_d13_mLO2_ch10,gLO,sBM,cAll,d13,mLO2,ch10,100,96.0,127.0,144.0,113.5,74.0,74.0,80.0,80.0
gJB_sBM_cAll_d09_mJB2_ch09,gJB,sBM,cAll,d09,mJB2,ch09,100,111.6,117.8,129.0,117.5,97.0,97.0,104.0,104.0
gLO_sBM_cAll_d15_mLO5_ch06,gLO,sBM,cAll,d15,mLO5,ch06,130,106.12,141.88,144.0,137.0,94.0,94.0,97.5,97.5
gLO_sBM_cAll_d15_mLO3_ch04,gLO,sBM,cAll,d15,mLO3,ch04,110,114.8,129.2,144.0,128.5,88.0,88.0,127.0,127.0
gKR_sBM_cAll_d28_mKR0_ch02,gKR,sBM,cAll,d28,mKR0,ch02,80,117.8,124.0,144.0,121.5,144.0,144.0,110.0,110.0
gKR_sBM_cAll_d28_mKR2_ch09,gKR,sBM,cAll,d28,mKR2,ch09,100,124.6,111.4,99.0,122.5,122.0,122.0,124.0,124.0
gHO_sBM_cAll_d21_mHO4_ch02,gHO,sBM,cAll,d21,mHO4,ch02,130,98.12,132.25,97.0,115.0,97.0,97.0,97.5,97.5
gJB_sBM_cAll_d08_mJB1_ch10,gJB,sBM,cAll,d08,mJB1,ch10,90,79.83,130.17,70.0,118.0,70.0,70.0,72.5,72.5
gKR_sBM_cAll_d30_mKR4_ch04,gKR,sBM,cAll,d30,mKR4,ch04,120,124.8,115.4,133.0,122.5,133.0,133.0,133.0,133.0
gPO_sBM_cAll_d12_mPO5_ch10,gPO,sBM,cAll,d12,mPO5,ch10,130,129.0,131.12,131.0,130.0,144.0,144.0,127.5,127.5
gLO_sBM_cAll_d13_mLO3_ch06,gLO,sBM,cAll,d13,mLO3,ch06,110,104.4,95.6,102.0,98.5,102.0,102.0,102.0,102.0
gLH_sBM_cAll_d16_mLH2_ch06,gLH,sBM,cAll,d16,mLH2,ch06,100,88.8,118.8,75.0,101.5,75.0,75.0,75.0,75.0
gLH_sBM_cAll_d16_mLH1_ch10,gLH,sBM,cAll,d16,mLH1,ch10,90,108.17,127.67,70.0,119.5,70.0,70.0,114.0,114.0
gBR_sBM_cAll_d04_mBR1_ch01,gBR,sBM,cAll,d04,mBR1,ch01,90,87.17,91.83,70.0,89.5,70.0,70.0,70.0,70.0
gWA_sFM_cAll_d27_mWA0_ch15,gWA,sFM,cAll,d27,mWA0,ch15,80,122.4,124.2,115.0,122.5,115.0,115.0,115.0,115.0
gLH_sBM_cAll_d18_mLH5_ch06,gLH,sBM,cAll,d18,mLH5,ch06,130,95.88,132.62,70.0,128.5,70.0,70.0,91.5,91.5
gHO_sBM_cAll_d21_mHO3_ch09,gHO,sBM,cAll,d21,mHO3,ch09,125,100.25,126.75,70.0,125.5,70.0,70.0,98.0,98.0
gJB_sBM_cAll_d08_mJB1_ch05,gJB,sBM,cAll,d08,mJB1,ch05,90,125.83,81.33,120.0,109.5,120.0,120.0,120.5,120.5
gHO_sBM_cAll_d20_mHO1_ch04,gHO,sBM,cAll,d20,mHO1,ch04,115,114.6,119.4,116.0,116.0,116.0,116.0,116.0,116.0
gLH_sBM_cAll_d16_mLH3_ch06,gLH,sBM,cAll,d16,mLH3,ch06,110,119.8,111.4,112.0,112.0,84.0,84.0,126.0,126.0
gWA_sBM_cAll_d26_mWA4_ch09,gWA,sBM,cAll,d26,mWA4,ch09,120,113.0,110.8,126.0,118.5,126.0,126.0,121.0,121.0
gMH_sBM_cAll_d23_mMH0_ch08,gMH,sBM,cAll,d23,mMH0,ch08,80,134.6,80.0,80.0,105.5,131.0,131.0,135.0,135.0
gLO_sBM_cAll_d14_mLO0_ch03,gLO,sBM,cAll,d14,mLO0,ch03,80,120.4,123.6,109.0,120.0,116.0,116.0,119.0,119.0
gBR_sBM_cAll_d05_mBR0_ch05,gBR,sBM,cAll,d05,mBR0,ch05,80,115.2,125.0,70.0,121.5,70.0,70.0,120.0,120.0
gPO_sBM_cAll_d12_mPO2_ch04,gPO,sBM,cAll,d12,mPO2,ch04,100,112.4,136.6,94.0,130.5,94.0,94.0,113.0,113.0
gLH_sBM_cAll_d18_mLH2_ch03,gLH,sBM,cAll,d18,mLH2,ch03,100,124.0,101.6,100.0,111.0,125.0,125.0,125.0,125.0
gKR_sBM_cAll_d29_mKR1_ch02,gKR,sBM,cAll,d29,mKR1,ch02,90,96.5,98.5,92.0,92.0,92.0,92.0,92.0,92.0
gJB_sBM_cAll_d09_mJB2_ch01,gJB,sBM,cAll,d09,mJB2,ch01,100,90.6,109.4,106.0,106.0,75.0,75.0,84.0,84.0
gMH_sFM_cAll_d23_mMH2_ch10,gMH,sFM,cAll,d23,mMH2,ch10,100,108.4,108.0,100.0,100.0,100.0,100.0,109.0,109.0
gLH_sFM_cAll_d16_mLH0_ch01,gLH,sFM,cAll,d16,mLH0,ch01,80,97.4,123.8,106.0,106.0,106.0,106.0,106.0,106.0
gKR_sBM_cAll_d30_mKR4_ch07,gKR,sBM,cAll,d30,mKR4,ch07,120,101.0,115.4,118.0,113.0,85.0,85.0,92.0,92.0
gKR_sBM_cAll_d29_mKR5_ch08,gKR,sBM,cAll,d29,mKR5,ch08,130,116.0,116.5,112.0,119.0,112.0,112.0,112.0,112.0
gJS_sBM_cAll_d02_mJS4_ch06,gJS,sBM,cAll,d02,mJS4,ch06,120,102.2,117.0,122.0,110.5,94.0,94.0,96.0,96.0
gLH_sBM_cAll_d16_mLH3_ch08,gLH,sBM,cAll,d16,mLH3,ch08,110,102.0,110.0,81.0,109.5,81.0,81.0,83.0,83.0
gPO_sBM_cAll_d12_mPO2_ch06,gPO,sBM,cAll,d12,mPO2,ch06,100,117.6,110.4,114.0,114.0,114.0,114.0,119.0,119.0
gWA_sFM_cAll_d26_mWA1_ch09,gWA,sFM,cAll,d26,mWA1,ch09,90,101.2,120.4,90.0,108.0,90.0,90.0,90.0,90.0
gPO_sBM_cAll_d12_mPO5_ch02,gPO,sBM,cAll,d12,mPO5,ch02,130,101.62,130.75,82.0,117.0,82.0,82.0,113.5,113.5
gWA_sBM_cAll_d25_mWA1_ch03,gWA,sBM,cAll,d25,mWA1,ch03,90,127.17,142.67,142.0,142.0,110.0,110.0,129.0,129.0
gLH_sBM_cAll_d17_mLH4_ch05,gLH,sBM,cAll,d17,mLH4,ch05,120,93.6,118.8,91.0,107.5,91.0,91.0,93.0,93.0
gLO_sBM_cAll_d13_mLO0_ch06,gLO,sBM,cAll,d13,mLO0,ch06,80,108.0,86.8,95.0,94.5,121.0,121.0,120.0,120.0
gPO_sBM_cAll_d11_mPO4_ch03,gPO,sBM,cAll,d11,mPO4,ch03,120,120.4,113.8,109.0,112.0,102.0,102.0,109.0,109.0
gJB_sBM_cAll_d08_mJB5_ch06,gJB,sBM,cAll,d08,mJB5,ch06,130,106.38,96.88,70.0,98.0,70.0,70.0,117.5,117.5
gWA_sBM_cAll_d26_mWA0_ch06,gWA,sBM,cAll,d26,mWA0,ch06,80,107.6,129.4,144.0,133.0,70.0,70.0,113.0,113.0
gJS_sBM_cAll_d02_mJS1_ch07,gJS,sBM,cAll,d02,mJS1,ch07,90,77.83,115.17,73.0,98.5,73.0,73.0,74.5,74.5
gKR_sBM_cAll_d28_mKR3_ch08,gKR,sBM,cAll,d28,mKR3,ch08,110,81.2,121.0,81.0,93.5,81.0,81.0,81.0,81.0
gJB_sBM_cAll_d07_mJB2_ch07,gJB,sBM,cAll,d07,mJB2,ch07,100,139.2,109.0,144.0,128.5,144.0,144.0,144.0,144.0
gJS_sBM_cAll_d01_mJS0_ch04,gJS,sBM,cAll,d01,mJS0,ch04,80,99.8,90.0,83.0,89.0,90.0,90.0,90.0,90.0
gWA_sBM_cAll_d25_mWA2_ch04,gWA,sBM,cAll,d25,mWA2,ch04,100,141.4,135.2,144.0,144.0,144.0,144.0,144.0,144.0
gWA_sBM_cAll_d27_mWA2_ch07,gWA,sBM,cAll,d27,mWA2,ch07,100,137.6,120.2,121.0,128.0,142.0,142.0,140.0,140.0
gLO_sBM_cAll_d14_mLO1_ch02,gLO,sBM,cAll,d14,mLO1,ch02,90,105.67,112.17,96.0,97.5,144.0,144.0,94.5,94.5
gMH_sBM_cAll_d22_mMH3_ch09,gMH,sBM,cAll,d22,mMH3,ch09,110,123.6,110.4,110.0,111.5,83.0,83.0,134.0,134.0
gLH_sBM_cAll_d18_mLH2_ch04,gLH,sBM,cAll,d18,mLH2,ch04,100,76.0,133.8,144.0,91.0,74.0,74.0,76.0,76.0
gJB_sBM_cAll_d07_mJB1_ch08,gJB,sBM,cAll,d07,mJB1,ch08,90,136.0,117.67,128.0,129.5,128.0,128.0,136.0,136.0
gPO_sBM_cAll_d10_mPO3_ch02,gPO,sBM,cAll,d10,mPO3,ch02,110,74.0,135.8,70.0,106.5,70.0,70.0,70.0,70.0
gMH_sBM_cAll_d24_mMH3_ch07,gMH,sBM,cAll,d24,mMH3,ch07,110,140.0,117.4,136.0,134.0,136.0,136.0,142.0,142.0
gHO_sFM_cAll_d21_mHO4_ch19,gHO,sFM,cAll,d21,mHO4,ch19,130,140.8,130.4,130.0,135.5,140.0,140.0,141.0,141.0
gHO_sBM_cAll_d20_mHO5_ch06,gHO,sBM,cAll,d20,mHO5,ch06,135,88.25,133.25,133.0,117.0,86.0,86.0,86.0,86.0
gKR_sFM_cAll_d29_mKR3_ch11,gKR,sFM,cAll,d29,mKR3,ch11,110,119.6,109.2,113.0,113.0,113.0,113.0,114.0,114.0
gLO_sBM_cAll_d15_mLO4_ch02,gLO,sBM,cAll,d15,mLO4,ch02,120,134.4,131.6,144.0,140.5,144.0,144.0,139.0,139.0
gHO_sBM_cAll_d19_mHO1_ch01,gHO,sBM,cAll,d19,mHO1,ch01,115,97.2,115.4,115.0,114.5,86.0,86.0,87.0,87.0
gMH_sBM_cAll_d22_mMH1_ch05,gMH,sBM,cAll,d22,mMH1,ch05,90,139.67,106.0,144.0,131.0,144.0,144.0,144.0,144.0
gJB_sFM_cAll_d07_mJB5_ch06,gJB,sFM,cAll,d07,mJB5,ch06,130,107.0,115.8,99.0,115.5,99.0,99.0,99.0,99.0
gWA_sBM_cAll_d26_mWA4_ch10,gWA,sBM,cAll,d26,mWA4,ch10,120,89.8,111.4,70.0,109.0,74.0,74.0,80.0,80.0
gLH_sBM_cAll_d18_mLH5_ch09,gLH,sBM,cAll,d18,mLH5,ch09,130,135.38,132.0,131.0,132.0,144.0,144.0,135.0,135.0
gWA_sBM_cAll_d27_mWA2_ch02,gWA,sBM,cAll,d27,mWA2,ch02,100,83.2,130.4,70.0,111.5,70.0,70.0,77.0,77.0
gKR_sBM_cAll_d28_mKR3_ch09,gKR,sBM,cAll,d28,mKR3,ch09,110,122.2,110.4,109.0,110.5,101.0,101.0,128.0,128.0
gWA_sBM_cAll_d25_mWA2_ch07,gWA,sBM,cAll,d25,mWA2,ch07,100,126.2,120.2,144.0,122.5,144.0,144.0,144.0,144.0
