filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,X_a,Y_a,bpm_mode,bpm_median,mode_x,mode_y,median_x,median_y
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,120.0,155.0,110.0,136.5,108.0,108.0,110.0,110.0
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,136.62,133.88,136.0,135.0,136.0,136.0,136.0,136.0
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,174.4,140.4,172.0,172.0,173.0,173.0,173.0,173.0
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,134.4,122.6,139.0,138.5,120.0,120.0,138.0,138.0
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,127.0,137.0,101.0,134.0,101.0,101.0,103.0,103.0
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,155.5,123.12,132.0,149.5,170.0,170.0,167.0,167.0
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,149.2,141.0,146.0,144.5,146.0,146.0,146.0,146.0
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,132.4,109.4,149.0,127.5,122.0,122.0,130.0,130.0
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,162.0,161.2,161.0,161.0,161.0,161.0,161.0,161.0
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,143.4,135.4,111.0,139.0,139.0,139.0,139.0,139.0
gHO_sBM_cAll_d20_mHO0_ch01,gHO,sBM,cAll,d20,mHO0,ch01,110,166.0,109.6,167.0,137.0,167.0,167.0,167.0,167.0
gLO_sBM_cAll_d13_mLO1_ch02,gLO,sBM,cAll,d13,mLO1,ch02,90,164.33,173.67,179.0,171.0,159.0,159.0,160.5,160.5
gPO_sBM_cAll_d12_mPO5_ch08,gPO,sBM,cAll,d12,mPO5,ch08,130,129.75,115.88,130.0,129.5,130.0,130.0,130.0,130.0
gKR_sBM_cAll_d30_mKR5_ch08,gKR,sBM,cAll,d30,mKR5,ch08,130,102.75,108.0,67.0,81.0,67.0,67.0,68.0,68.0
gBR_sBM_cAll_d06_mBR5_ch04,gBR,sBM,cAll,d06,mBR5,ch04,130,154.62,133.38,130.0,136.5,130.0,130.0,160.5,160.5
gJS_sBM_cAll_d01_mJS2_ch03,gJS,sBM,cAll,d01,mJS2,ch03,100,154.0,125.8,93.0,138.0,132.0,132.0,162.0,162.0
gBR_sBM_cAll_d04_mBR1_ch03,gBR,sBM,cAll,d04,mBR1,ch03,90,136.67,135.0,135.0,135.5,135.0,135.0,136.5,136.5
gJS_sBM_cAll_d02_mJS0_ch10,gJS,sBM,cAll,d02,mJS0,ch10,80,132.0,136.8,131.0,132.0,119.0,119.0,131.0,131.0
