filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,X_a,Y_a,bpm_mode,bpm_median,mode_x,mode_y,median_x,median_y
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,123.2,160.8,156.0,155.5,111.0,111.0,113.0,113.0
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,123.0,109.0,130.0,130.0,71.0,71.0,136.0,136.0
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,149.2,151.6,130.0,153.5,130.0,130.0,154.0,154.0
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,147.0,145.8,179.0,150.5,119.0,119.0,150.0,150.0
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,149.8,141.4,172.0,146.5,120.0,120.0,147.0,147.0
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,149.5,98.0,142.0,140.5,142.0,142.0,149.0,149.0
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,139.0,139.4,142.0,142.0,118.0,118.0,150.0,150.0
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,136.8,156.0,122.0,144.0,122.0,122.0,122.0,122.0
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,159.8,141.6,160.0,160.0,160.0,160.0,160.0,160.0
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,152.0,148.0,127.0,142.5,127.0,127.0,162.0,162.0
gHO_sBM_cAll_d20_mHO0_ch01,gHO,sBM,cAll,d20,mHO0,ch01,110,158.6,134.2,113.0,153.0,140.0,140.0,166.0,166.0
gLO_sBM_cAll_d13_mLO1_ch02,gLO,sBM,cAll,d13,mLO1,ch02,90,179.0,145.83,179.0,174.5,179.0,179.0,179.0,179.0
