filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,X_a,Y_a,bpm_mode,bpm_median,mode_x,mode_y,median_x,median_y
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,107.8,111.8,111.0,110.5,110.0,110.0,110.0,110.0
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,151.12,129.88,168.0,163.5,168.0,168.0,151.5,151.5
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,142.0,152.8,151.0,151.0,151.0,151.0,149.0,149.0
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,138.2,146.0,139.0,139.0,139.0,139.0,139.0,139.0
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,173.2,149.6,175.0,172.5,175.0,175.0,173.0,173.0
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,151.25,119.88,135.0,137.0,135.0,135.0,151.0,151.0
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,163.0,153.2,159.0,160.5,159.0,159.0,162.0,162.0
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,114.8,151.2,98.0,146.0,98.0,98.0,111.0,111.0
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,120.0,150.0,140.0,141.0,140.0,140.0,138.0,138.0
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,148.4,108.8,78.0,134.5,134.0,134.0,139.0,139.0
gHO_sBM_cAll_d20_mHO0_ch01,gHO,sBM,cAll,d20,mHO0,ch01,110,164.4,151.4,144.0,165.5,154.0,154.0,166.0,166.0
