filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,X_a,Y_a,bpm_mode,bpm_median,mode_x,mode_y,median_x,median_y
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,110.2,141.2,144.0,124.0,110.0,110.0,110.0,110.0
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,120.62,116.12,70.0,134.0,134.0,134.0,134.5,134.5
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,132.4,127.6,119.0,130.0,119.0,119.0,138.0,138.0
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,136.4,124.0,144.0,143.0,144.0,144.0,144.0,144.0
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,128.8,138.0,139.0,138.5,144.0,144.0,139.0,139.0
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,141.88,138.12,144.0,141.5,144.0,144.0,144.0,144.0
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,139.8,132.0,144.0,134.5,144.0,144.0,142.0,142.0
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,113.0,123.2,123.0,122.0,105.0,105.0,105.0,105.0
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,120.0,127.0,135.0,131.0,106.0,106.0,120.0,120.0
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,117.75,139.5,139.0,138.0,84.0,84.0,124.0,124.0
gHO_sBM_cAll_d20_mHO0_ch01,gHO,sBM,cAll,d20,mHO0,ch01,110,113.6,94.2,111.0,111.0,111.0,111.0,111.0,111.0
gLO_sBM_cAll_d13_mLO1_ch02,gLO,sBM,cAll,d13,mLO1,ch02,90,126.83,131.67,142.0,133.5,94.0,94.0,132.0,132.0
gPO_sBM_cAll_d12_mPO5_ch08,gPO,sBM,cAll,d12,mPO5,ch08,130,117.12,134.25,99.0,128.5,99.0,99.0,120.0,120.0
gKR_sBM_cAll_d30_mKR5_ch08,gKR,sBM,cAll,d30,mKR5,ch08,130,131.12,118.88,128.0,130.0,128.0,128.0,130.5,130.5
gBR_sBM_cAll_d06_mBR5_ch04,gBR,sBM,cAll,d06,mBR5,ch04,130,128.0,121.0,134.0,133.0,133.0,133.0,132.0,132.0
gJS_sBM_cAll_d01_mJS2_ch03,gJS,sBM,cAll,d01,mJS2,ch03,100,128.4,126.8,144.0,127.0,144.0,144.0,128.0,128.0
gBR_sBM_cAll_d04_mBR1_ch03,gBR,sBM,cAll,d04,mBR1,ch03,90,138.0,129.0,137.0,137.0,137.0,137.0,137.5,137.5
gJS_sBM_cAll_d02_mJS0_ch10,gJS,sBM,cAll,d02,mJS0,ch10,80,122.0,129.0,122.0,126.5,122.0,122.0,122.0,122.0
gLO_sBM_cAll_d15_mLO4_ch01,gLO,sBM,cAll,d15,mLO4,ch01,120,138.5,112.5,144.0,126.5,144.0,144.0,142.0,142.0
gPO_sBM_cAll_d10_mPO1_ch02,gPO,sBM,cAll,d10,mPO1,ch02,90,133.5,127.17,140.0,132.0,140.0,140.0,134.0,134.0
gJS_sBM_cAll_d02_mJS4_ch08,gJS,sBM,cAll,d02,mJS4,ch08,120,144.0,133.25,144.0,143.0,144.0,144.0,144.0,144.0
gBR_sBM_cAll_d05_mBR4_ch06,gBR,sBM,cAll,d05,mBR4,ch06,120,125.0,124.5,122.0,123.5,121.0,121.0,125.0,125.0
gJS_sBM_cAll_d02_mJS5_ch03,gJS,sBM,cAll,d02,mJS5,ch03,130,144.0,141.88,144.0,144.0,144.0,144.0,144.0,144.0
gBR_sBM_cAll_d06_mBR3_ch06,gBR,sBM,cAll,d06,mBR3,ch06,110,111.6,114.6,114.0,114.0,115.0,115.0,114.0,114.0
gBR_sBM_cAll_d04_mBR2_ch07,gBR,sBM,cAll,d04,mBR2,ch07,100,100.6,105.8,99.0,102.0,99.0,99.0,100.0,100.0
gPO_sBM_cAll_d11_mPO1_ch01,gPO,sBM,cAll,d11,mPO1,ch01,90,130.83,124.5,144.0,133.5,144.0,144.0,133.5,133.5
gBR_sBM_cAll_d04_mBR0_ch05,gBR,sBM,cAll,d04,mBR0,ch05,80,121.5,131.0,140.0,135.0,107.0,107.0,121.5,121.5
gKR_sBM_cAll_d30_mKR5_ch01,gKR,sBM,cAll,d30,mKR5,ch01,130,91.38,139.25,70.0,130.0,70.0,70.0,70.0,70.0
gMH_sBM_cAll_d22_mMH1_ch06,gMH,sBM,cAll,d22,mMH1,ch06,90,128.0,125.67,137.0,132.0,100.0,100.0,132.0,132.0
