filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,X_a,Y_a,bpm_mode,bpm_median,mode_x,mode_y,median_x,median_y
gKR_sBM_cAll_d28_mKR3_ch03,gKR,sBM,cAll,d28,mKR3,ch03,110,112.2,111.4,111.0,111.0,111.0,111.0,111.0,111.0
gHO_sBM_cAll_d20_mHO5_ch01,gHO,sBM,cAll,d20,mHO5,ch01,135,135.25,136.62,136.0,136.0,137.0,137.0,135.5,135.5
gKR_sBM_cAll_d28_mKR2_ch03,gKR,sBM,cAll,d28,mKR2,ch03,100,98.8,109.0,75.0,105.0,75.0,75.0,77.0,77.0
gPO_sBM_cAll_d10_mPO3_ch03,gPO,sBM,cAll,d10,mPO3,ch03,110,129.4,103.4,130.0,111.0,130.0,130.0,130.0,130.0
gJS_sBM_cAll_d01_mJS3_ch03,gJS,sBM,cAll,d01,mJS3,ch03,110,125.4,119.2,93.0,130.5,96.0,96.0,130.0,130.0
gHO_sBM_cAll_d21_mHO5_ch10,gHO,sBM,cAll,d21,mHO5,ch10,135,136.75,137.25,136.0,137.0,132.0,132.0,136.5,136.5
gWA_sFM_cAll_d27_mWA1_ch16,gWA,sFM,cAll,d27,mWA1,ch16,90,134.4,123.2,116.0,136.0,140.0,140.0,139.0,139.0
gBR_sBM_cAll_d06_mBR2_ch05,gBR,sBM,cAll,d06,mBR2,ch05,100,128.0,102.8,101.0,105.0,99.0,99.0,137.0,137.0
gMH_sBM_cAll_d23_mMH0_ch05,gMH,sBM,cAll,d23,mMH0,ch05,80,138.0,136.25,138.0,138.0,138.0,138.0,138.0,138.0
gLO_sBM_cAll_d14_mLO0_ch01,gLO,sBM,cAll,d14,mLO0,ch01,80,114.5,110.0,78.0,114.0,100.0,100.0,107.0,107.0
gHO_sBM_cAll_d20_mHO0_ch01,gHO,sBM,cAll,d20,mHO0,ch01,110,103.8,111.2,111.0,111.0,111.0,111.0,111.0,111.0
gLO_sBM_cAll_d13_mLO1_ch02,gLO,sBM,cAll,d13,mLO1,ch02,90,117.33,110.83,114.0,114.0,123.0,123.0,117.0,117.0
gPO_sBM_cAll_d12_mPO5_ch08,gPO,sBM,cAll,d12,mPO5,ch08,130,109.5,130.75,130.0,130.0,82.0,82.0,105.5,105.5
gKR_sBM_cAll_d30_mKR5_ch08,gKR,sBM,cAll,d30,mKR5,ch08,130,113.38,128.12,128.0,127.0,144.0,144.0,106.5,106.5
gBR_sBM_cAll_d06_mBR5_ch04,gBR,sBM,cAll,d06,mBR5,ch04,130,115.12,131.88,134.0,132.0,103.0,103.0,103.5,103.5
gJS_sBM_cAll_d01_mJS2_ch03,gJS,sBM,cAll,d01,mJS2,ch03,100,138.8,107.4,144.0,133.0,144.0,144.0,140.0,140.0
gBR_sBM_cAll_d04_mBR1_ch03,gBR,sBM,cAll,d04,mBR1,ch03,90,127.17,91.33,91.0,106.0,120.0,120.0,123.0,123.0
