Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,28,99,28.28,Break,25,99,25.25
House,85,136,62.5,House,103,136,75.74
Ballet Jazz,29,136,21.32,Ballet Jazz,24,136,17.65
Street Jazz,29,129,22.48,Street Jazz,21,129,16.28
Krump,47,137,34.31,Krump,32,137,23.36
LA style Hip-hop,38,141,26.95,LA style Hip-hop,33,141,23.4
Lock,40,141,28.37,Lock,29,141,20.57
Middle Hip-hop,46,140,32.86,Middle Hip-hop,47,140,33.57
Pop,25,141,17.73,Pop,15,141,10.64
Waack,32,141,22.7,Waack,19,141,13.48
