Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,27,99,27.27,Break,25,99,25.25
House,79,136,58.09,House,103,136,75.74
Ballet Jazz,33,136,24.26,Ballet Jazz,24,136,17.65
Street Jazz,29,129,22.48,Street Jazz,21,129,16.28
Krump,43,137,31.39,Krump,32,137,23.36
LA style Hip-hop,32,141,22.7,LA style Hip-hop,33,141,23.4
Lock,35,141,24.82,Lock,29,141,20.57
Middle Hip-hop,46,140,32.86,Middle Hip-hop,47,140,33.57
Pop,28,141,19.86,Pop,15,141,10.64
Waack,27,141,19.15,Waack,19,141,13.48
