Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,30,99,30.3,Break,25,99,25.25
House,84,136,61.76,House,103,136,75.74
Ballet Jazz,39,136,28.68,Ballet Jazz,24,136,17.65
Street Jazz,25,129,19.38,Street Jazz,21,129,16.28
Krump,38,137,27.74,Krump,32,137,23.36
LA style Hip-hop,40,141,28.37,LA style Hip-hop,33,141,23.4
Lock,36,141,25.53,Lock,29,141,20.57
Middle Hip-hop,44,140,31.43,Middle Hip-hop,47,140,33.57
Pop,22,141,15.6,Pop,15,141,10.64
Waack,27,141,19.15,Waack,19,141,13.48
