Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,13,99,13.13,Break,17,99,17.17
House,45,136,33.09,House,62,136,45.59
Ballet Jazz,16,136,11.76,Ballet Jazz,20,136,14.71
Street Jazz,18,129,13.95,Street Jazz,16,129,12.4
Krump,27,137,19.71,Krump,24,137,17.52
LA style Hip-hop,17,141,12.06,LA style Hip-hop,27,141,19.15
Lock,25,141,17.73,Lock,25,141,17.73
Middle Hip-hop,24,140,17.14,Middle Hip-hop,31,140,22.14
Pop,13,141,9.22,Pop,14,141,9.93
Waack,18,141,12.77,Waack,18,141,12.77
