Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,18,99,18.18,Break,16,99,16.16
House,40,136,29.41,House,51,136,37.5
Ballet Jazz,23,136,16.91,Ballet Jazz,23,136,16.91
Street Jazz,15,129,11.63,Street Jazz,14,129,10.85
Krump,20,137,14.6,Krump,24,137,17.52
LA style Hip-hop,19,141,13.48,LA style Hip-hop,18,141,12.77
Lock,15,141,10.64,Lock,18,141,12.77
Middle Hip-hop,19,140,13.57,Middle Hip-hop,34,140,24.29
Pop,10,141,7.09,Pop,17,141,12.06
Waack,16,141,11.35,Waack,12,141,8.51
