Agenre_name,Ahand_hits_2S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_2S,Btotal,Bpercentage
Break,26,99,26.26,Break,28,99,28.28
House,94,136,69.12,House,67,136,49.26
Ballet Jazz,24,136,17.65,Ballet Jazz,26,136,19.12
Street Jazz,29,129,22.48,Street Jazz,23,129,17.83
Krump,34,137,24.82,Krump,22,137,16.06
LA style Hip-hop,44,141,31.21,LA style Hip-hop,36,141,25.53
Lock,24,141,17.02,Lock,22,141,15.6
Middle Hip-hop,53,140,37.86,Middle Hip-hop,53,140,37.86
Pop,48,141,34.04,Pop,22,141,15.6
Waack,25,141,17.73,Waack,24,141,17.02
