Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,69,99,69.7,Break,44,99,44.44
House,114,136,83.82,House,112,136,82.35
Ballet Jazz,71,136,52.21,Ballet Jazz,45,136,33.09
Street Jazz,58,129,44.96,Street Jazz,43,129,33.33
Krump,71,137,51.82,Krump,48,137,35.04
LA style Hip-hop,88,141,62.41,LA style Hip-hop,59,141,41.84
Lock,72,141,51.06,Lock,40,141,28.37
Middle Hip-hop,118,140,84.29,Middle Hip-hop,78,140,55.71
Pop,86,141,60.99,Pop,61,141,43.26
Waack,58,141,41.13,Waack,39,141,27.66
