Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,61,99,61.62,Break,44,99,44.44
House,108,136,79.41,House,112,136,82.35
Ballet Jazz,65,136,47.79,Ballet Jazz,45,136,33.09
Street Jazz,55,129,42.64,Street Jazz,43,129,33.33
Krump,80,137,58.39,Krump,48,137,35.04
LA style Hip-hop,99,141,70.21,LA style Hip-hop,59,141,41.84
Lock,72,141,51.06,Lock,40,141,28.37
Middle Hip-hop,120,140,85.71,Middle Hip-hop,78,140,55.71
Pop,93,141,65.96,Pop,61,141,43.26
Waack,67,141,47.52,Waack,39,141,27.66
