Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,53,99,53.54,Break,37,99,37.37
House,83,136,61.03,House,82,136,60.29
Ballet Jazz,32,136,23.53,Ballet Jazz,56,136,41.18
Street Jazz,40,129,31.01,Street Jazz,26,129,20.16
Krump,50,137,36.5,Krump,45,137,32.85
LA style Hip-hop,74,141,52.48,LA style Hip-hop,42,141,29.79
Lock,54,141,38.3,Lock,42,141,29.79
Middle Hip-hop,101,140,72.14,Middle Hip-hop,78,140,55.71
Pop,72,141,51.06,Pop,37,141,26.24
Waack,41,141,29.08,Waack,32,141,22.7
