Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,49,99,49.49,Break,37,99,37.37
House,92,136,67.65,House,82,136,60.29
Ballet Jazz,36,136,26.47,Ballet Jazz,56,136,41.18
Street Jazz,30,129,23.26,Street Jazz,26,129,20.16
Krump,50,137,36.5,Krump,45,137,32.85
LA style Hip-hop,84,141,59.57,LA style Hip-hop,42,141,29.79
Lock,50,141,35.46,Lock,42,141,29.79
Middle Hip-hop,99,140,70.71,Middle Hip-hop,78,140,55.71
Pop,70,141,49.65,Pop,37,141,26.24
Waack,44,141,31.21,Waack,32,141,22.7
