Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,49,99,49.49,Break,27,99,27.27
House,92,136,67.65,House,70,136,51.47
Ballet Jazz,36,136,26.47,Ballet Jazz,46,136,33.82
Street Jazz,30,129,23.26,Street Jazz,35,129,27.13
Krump,50,137,36.5,Krump,56,137,40.88
LA style Hip-hop,84,141,59.57,LA style Hip-hop,51,141,36.17
Lock,50,141,35.46,Lock,44,141,31.21
Middle Hip-hop,99,140,70.71,Middle Hip-hop,90,140,64.29
Pop,70,141,49.65,Pop,47,141,33.33
Waack,44,141,31.21,Waack,38,141,26.95
