genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage
Break,99,13,18,17,16,13.13,18.18,17.17,16.16
Pop,141,13,10,14,17,9.22,7.09,9.93,12.06
Lock,141,25,15,25,18,17.73,10.64,17.73,12.77
Middle Hip-hop,140,24,19,31,34,17.14,13.57,22.14,24.29
LA style Hip-hop,141,17,19,27,18,12.06,13.48,19.15,12.77
House,136,45,40,62,51,33.09,29.41,45.59,37.5
Waack,141,18,16,18,12,12.77,11.35,12.77,8.51
Krump,137,27,20,24,24,19.71,14.6,17.52,17.52
Street Jazz,129,18,15,16,14,13.95,11.63,12.4,10.85
Ballet Jazz,136,16,23,20,23,11.76,16.91,14.71,16.91
