genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,14,14,10,14,40,14.14,14.14,10.1,14.14,40.4
Pop,141,5,15,21,18,42,3.55,10.64,14.89,12.77,29.79
Lock,141,28,18,23,18,58,19.86,12.77,16.31,12.77,41.13
Middle Hip-hop,140,20,18,25,23,52,14.29,12.86,17.86,16.43,37.14
LA style Hip-hop,141,10,19,25,21,49,7.09,13.48,17.73,14.89,34.75
House,136,44,40,46,38,102,32.35,29.41,33.82,27.94,75.0
Waack,141,20,22,17,10,47,14.18,15.6,12.06,7.09,33.33
Krump,137,22,17,29,22,55,16.06,12.41,21.17,16.06,40.15
Street Jazz,129,15,13,19,15,44,11.63,10.08,14.73,11.63,34.11
Ballet Jazz,136,14,24,14,19,55,10.29,17.65,10.29,13.97,40.44
