genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,37,32,34,33,73,37.37,32.32,34.34,33.33,73.74
Pop,141,43,39,23,42,89,30.5,27.66,16.31,29.79,63.12
Lock,141,41,40,30,31,83,29.08,28.37,21.28,21.99,58.87
Middle Hip-hop,140,68,69,84,80,124,48.57,49.29,60.0,57.14,88.57
LA style Hip-hop,141,41,41,19,34,90,29.08,29.08,13.48,24.11,63.83
House,136,30,45,46,40,99,22.06,33.09,33.82,29.41,72.79
Waack,141,44,33,35,28,84,31.21,23.4,24.82,19.86,59.57
Krump,137,27,33,29,38,81,19.71,24.09,21.17,27.74,59.12
Street Jazz,129,28,24,30,22,74,21.71,18.6,23.26,17.05,57.36
Ballet Jazz,136,27,22,30,36,75,19.85,16.18,22.06,26.47,55.15
