genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,59.38,37.21,37.21,36.36,51.52,32.56
Pop,51.35,32.35,29.41,45.95,41.18,45.95
Lock,45.28,31.91,35.85,27.66,43.4,34.04
Middle Hip-hop,59.18,78.69,41.67,45.9,40.98,41.67
LA style Hip-hop,55.32,60.42,50.0,48.94,42.22,56.25
House,70.87,77.11,70.97,60.19,65.59,63.11
Waack,46.67,41.67,41.86,40.0,37.21,35.56
Krump,54.17,49.06,50.0,45.28,47.17,42.0
Street Jazz,44.44,43.59,42.11,33.33,33.33,50.0
Ballet Jazz,56.25,57.14,55.56,59.18,44.9,54.17
