genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,32,31,43,33,71,32.32,31.31,43.43,33.33,71.72
Pop,141,34,37,32,34,76,24.11,26.24,22.7,24.11,53.9
Lock,141,53,47,47,39,102,37.59,33.33,33.33,27.66,72.34
Middle Hip-hop,140,49,48,60,61,96,35.0,34.29,42.86,43.57,68.57
LA style Hip-hop,141,43,47,48,45,87,30.5,33.33,34.04,31.91,61.7
House,136,93,103,83,77,128,68.38,75.74,61.03,56.62,94.12
Waack,141,43,45,36,33,81,30.5,31.91,25.53,23.4,57.45
Krump,137,46,48,50,53,97,33.58,35.04,36.5,38.69,70.8
Street Jazz,129,36,33,38,39,76,27.91,25.58,29.46,30.23,58.91
Ballet Jazz,136,43,48,45,49,84,31.62,35.29,33.09,36.03,61.76
