genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,53.19,62.96,53.7,40.91,53.19,50.0
Pop,54.72,46.3,51.85,52.83,49.06,53.7
Lock,56.72,55.0,47.76,50.0,49.25,40.32
Middle Hip-hop,61.97,76.0,59.72,57.33,54.67,54.17
LA style Hip-hop,64.52,63.38,60.56,53.85,61.54,57.75
House,80.56,71.3,81.48,69.61,70.37,75.0
Waack,61.43,64.18,65.67,60.0,61.54,61.43
Krump,66.67,54.69,60.87,52.17,50.72,56.52
Street Jazz,69.23,59.32,58.62,59.32,52.54,56.9
Ballet Jazz,72.41,66.67,59.09,56.52,57.97,59.09
