genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,43.24,44.19,41.86,30.0,32.43,32.56
Pop,40.0,27.03,35.14,34.29,40.0,32.43
Lock,39.02,28.57,27.5,21.95,25.0,26.83
Middle Hip-hop,46.34,51.85,33.33,35.19,27.78,39.58
LA style Hip-hop,56.52,36.96,41.3,35.9,41.3,41.3
House,46.97,56.92,52.31,53.03,49.18,54.55
Waack,48.0,42.22,40.0,44.0,43.9,38.0
Krump,46.81,43.59,33.33,36.17,37.78,27.66
Street Jazz,56.76,30.3,32.43,30.56,21.62,38.89
Ballet Jazz,40.0,44.68,37.78,42.55,31.91,42.22
