genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,69.84,42.5,46.03,43.86,28.57,42.11
Pop,63.89,50.0,34.72,40.28,41.67,36.11
Lock,55.38,48.15,46.67,40.0,38.33,46.15
Middle Hip-hop,81.98,84.91,75.68,77.36,77.48,76.7
LA style Hip-hop,72.45,59.65,47.62,44.9,42.86,44.9
House,81.31,72.92,67.29,73.83,75.7,65.42
Waack,50.77,33.33,33.85,39.66,36.92,36.21
Krump,50.79,56.45,47.54,63.49,54.84,53.97
Street Jazz,39.13,34.78,32.61,39.13,50.0,28.57
Ballet Jazz,72.13,48.08,43.33,50.82,46.67,50.82
