genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,84.62,62.71,58.9,51.28,49.32,57.69
Pop,75.25,64.56,55.45,60.87,59.41,57.61
Lock,60.0,60.56,54.93,56.47,51.43,52.94
Middle Hip-hop,92.56,91.8,87.7,87.7,86.07,88.52
LA style Hip-hop,82.08,67.82,61.9,66.04,66.67,63.21
House,90.32,88.14,87.1,86.78,82.26,90.08
Waack,67.9,49.3,60.49,47.44,55.56,61.54
Krump,73.86,68.35,69.14,64.77,70.37,62.5
Street Jazz,64.62,61.43,58.82,47.14,57.14,54.41
Ballet Jazz,57.69,63.16,61.54,49.3,58.97,52.63
