genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,64,65,35,29,85,64.65,65.66,35.35,29.29,85.86
Pop,141,83,80,54,49,118,58.87,56.74,38.3,34.75,83.69
Lock,141,58,46,50,44,106,41.13,32.62,35.46,31.21,75.18
Middle Hip-hop,140,103,104,74,95,131,73.57,74.29,52.86,67.86,93.57
LA style Hip-hop,141,81,91,63,60,119,57.45,64.54,44.68,42.55,84.4
House,136,121,114,95,91,133,88.97,83.82,69.85,66.91,97.79
Waack,141,54,60,45,36,98,38.3,42.55,31.91,25.53,69.5
Krump,137,61,74,56,53,106,44.53,54.01,40.88,38.69,77.37
Street Jazz,129,41,39,41,40,93,31.78,30.23,31.78,31.01,72.09
Ballet Jazz,136,52,46,52,40,96,38.24,33.82,38.24,29.41,70.59
