genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,48.15,46.15,41.38,34.62,26.92,37.04
Pop,38.1,27.59,33.33,39.13,28.57,30.43
Lock,37.5,27.59,31.25,27.59,37.93,38.24
Middle Hip-hop,54.05,60.42,42.11,43.24,36.84,51.35
LA style Hip-hop,48.48,54.29,39.39,40.0,42.42,45.71
House,64.18,79.37,67.9,53.97,73.02,59.7
Waack,43.75,17.65,37.5,35.29,28.12,35.14
Krump,55.26,51.52,48.48,39.47,43.48,30.3
Street Jazz,46.67,42.86,52.38,40.0,48.0,38.1
Ballet Jazz,58.06,44.44,39.29,59.26,37.04,42.86
