genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,45.45,38.89,55.56,45.0,30.0,38.89
Pop,33.33,45.83,75.0,45.0,41.67,35.0
Lock,53.85,57.14,50.0,26.92,50.0,26.92
Middle Hip-hop,45.83,56.25,41.67,50.0,33.33,53.85
LA style Hip-hop,53.85,50.0,15.38,36.0,30.77,44.0
House,60.66,72.58,64.79,44.26,69.35,62.3
Waack,44.83,47.37,51.85,36.84,26.32,51.85
Krump,54.84,54.29,60.61,38.71,42.42,48.39
Street Jazz,55.0,30.0,35.0,35.0,35.0,50.0
Ballet Jazz,54.17,40.0,25.0,38.46,33.33,35.0
