genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,36,33,30,29,60,36.36,33.33,30.3,29.29,60.61
Pop,141,26,29,36,39,66,18.44,20.57,25.53,27.66,46.81
Lock,141,47,37,51,43,89,33.33,26.24,36.17,30.5,63.12
Middle Hip-hop,140,38,38,51,53,90,27.14,27.14,36.43,37.86,64.29
LA style Hip-hop,141,26,36,48,44,80,18.44,25.53,34.04,31.21,56.74
House,136,80,67,96,82,129,58.82,49.26,70.59,60.29,94.85
Waack,141,36,36,41,29,73,25.53,25.53,29.08,20.57,51.77
Krump,137,51,41,52,47,89,37.23,29.93,37.96,34.31,64.96
Street Jazz,129,36,26,31,32,62,27.91,20.16,24.03,24.81,48.06
Ballet Jazz,136,37,40,42,40,80,27.21,29.41,30.88,29.41,58.82
