genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,80.65,72.5,70.0,72.5,65.0,74.0
Pop,76.19,68.09,80.85,61.29,72.58,63.83
Lock,65.15,63.83,70.21,67.31,71.15,65.96
Middle Hip-hop,91.74,91.01,86.52,83.67,82.65,85.39
LA style Hip-hop,83.33,64.29,91.07,87.3,84.13,82.14
House,91.53,85.56,89.0,93.33,88.89,92.0
Waack,55.36,47.62,61.9,65.12,62.79,61.9
Krump,61.29,72.13,59.02,63.08,61.29,60.66
Street Jazz,56.52,54.05,43.24,52.17,37.5,54.05
Ballet Jazz,66.67,53.85,57.14,59.65,61.9,50.88
