genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,46,52,57,45,81,46.46,52.53,57.58,45.45,81.82
Pop,141,51,50,54,50,90,36.17,35.46,38.3,35.46,63.83
Lock,141,69,71,77,59,114,48.94,50.35,54.61,41.84,80.85
Middle Hip-hop,140,70,70,73,72,108,50.0,50.0,52.14,51.43,77.14
LA style Hip-hop,141,56,62,62,63,100,39.72,43.97,43.97,44.68,70.92
House,136,113,121,105,95,136,83.09,88.97,77.21,69.85,100.0
Waack,141,58,61,53,56,99,41.13,43.26,37.59,39.72,70.21
Krump,137,67,76,70,72,110,48.91,55.47,51.09,52.55,80.29
Street Jazz,129,46,42,51,56,85,35.66,32.56,39.53,43.41,65.89
Ballet Jazz,136,58,62,62,71,96,42.65,45.59,45.59,52.21,70.59
