genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,40,46,44,38,75,40.4,46.46,44.44,38.38,75.76
Pop,141,45,49,53,50,90,31.91,34.75,37.59,35.46,63.83
Lock,141,58,62,72,55,105,41.13,43.97,51.06,39.01,74.47
Middle Hip-hop,140,76,62,66,66,108,54.29,44.29,47.14,47.14,77.14
LA style Hip-hop,141,55,59,59,68,100,39.01,41.84,41.84,48.23,70.92
House,136,113,119,114,96,136,83.09,87.5,83.82,70.59,100.0
Waack,141,57,56,51,63,100,40.43,39.72,36.17,44.68,70.92
Krump,137,68,70,71,63,105,49.64,51.09,51.82,45.99,76.64
Street Jazz,129,44,42,54,53,84,34.11,32.56,41.86,41.09,65.12
Ballet Jazz,136,57,54,58,65,93,41.91,39.71,42.65,47.79,68.38
