genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,50,49,57,45,82,50.51,49.49,57.58,45.45,82.83
Pop,141,55,51,56,55,96,39.01,36.17,39.72,39.01,68.09
Lock,141,64,67,67,60,114,45.39,47.52,47.52,42.55,80.85
Middle Hip-hop,140,70,66,72,70,116,50.0,47.14,51.43,50.0,82.86
LA style Hip-hop,141,59,61,68,61,106,41.84,43.26,48.23,43.26,75.18
House,136,108,114,103,93,135,79.41,83.82,75.74,68.38,99.26
Waack,141,55,67,61,66,104,39.01,47.52,43.26,46.81,73.76
Krump,137,62,78,63,65,116,45.26,56.93,45.99,47.45,84.67
Street Jazz,129,49,44,51,55,88,37.98,34.11,39.53,42.64,68.22
Ballet Jazz,136,56,55,62,74,95,41.18,40.44,45.59,54.41,69.85
