genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,74,66,56,48,88,74.75,66.67,56.57,48.48,88.89
Pop,141,97,97,69,79,127,68.79,68.79,48.94,56.03,90.07
Lock,141,82,84,69,73,123,58.16,59.57,48.94,51.77,87.23
Middle Hip-hop,140,119,119,119,118,135,85.0,85.0,85.0,84.29,96.43
LA style Hip-hop,141,102,112,78,70,124,72.34,79.43,55.32,49.65,87.94
House,136,122,129,105,107,136,89.71,94.85,77.21,78.68,100.0
Waack,141,84,73,69,73,121,59.57,51.77,48.94,51.77,85.82
Krump,137,81,76,80,83,115,59.12,55.47,58.39,60.58,83.94
Street Jazz,129,59,58,56,67,109,45.74,44.96,43.41,51.94,84.5
Ballet Jazz,136,82,78,74,77,118,60.29,57.35,54.41,56.62,86.76
