genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,65,59,61,48,86,65.66,59.6,61.62,48.48,86.87
Pop,141,95,89,62,74,124,67.38,63.12,43.97,52.48,87.94
Lock,141,73,82,61,69,116,51.77,58.16,43.26,48.94,82.27
Middle Hip-hop,140,112,113,120,117,136,80.0,80.71,85.71,83.57,97.14
LA style Hip-hop,141,97,98,68,77,125,68.79,69.5,48.23,54.61,88.65
House,136,119,126,102,103,136,87.5,92.65,75.0,75.74,100.0
Waack,141,76,64,71,65,118,53.9,45.39,50.35,46.1,83.69
Krump,137,75,70,74,73,114,54.74,51.09,54.01,53.28,83.21
Street Jazz,129,56,56,57,60,113,43.41,43.41,44.19,46.51,87.6
Ballet Jazz,136,72,58,71,74,114,52.94,42.65,52.21,54.41,83.82
