genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,90.36,75.0,73.49,61.45,62.65,73.49
Pop,82.46,71.43,66.67,72.38,69.3,67.62
Lock,68.82,68.24,63.64,68.82,64.77,60.22
Middle Hip-hop,95.24,92.13,91.34,90.48,90.4,91.34
LA style Hip-hop,93.22,72.63,67.8,71.19,73.73,68.64
House,96.21,93.44,89.31,90.15,88.55,90.91
Waack,72.92,67.05,75.0,62.35,68.75,75.0
Krump,82.83,81.91,80.0,78.79,80.0,75.76
Street Jazz,69.33,68.67,66.67,62.65,67.47,69.33
Ballet Jazz,67.71,71.59,72.92,66.67,71.88,65.91
