genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,83,83,72,61,98,83.84,83.84,72.73,61.62,98.99
Pop,141,114,105,84,91,133,80.85,74.47,59.57,64.54,94.33
Lock,141,88,93,78,85,129,62.41,65.96,55.32,60.28,91.49
Middle Hip-hop,140,125,126,127,125,137,89.29,90.0,90.71,89.29,97.86
LA style Hip-hop,141,118,118,89,95,133,83.69,83.69,63.12,67.38,94.33
House,136,131,132,122,120,136,96.32,97.06,89.71,88.24,100.0
Waack,141,96,85,88,80,125,68.09,60.28,62.41,56.74,88.65
Krump,137,95,99,93,94,123,69.34,72.26,67.88,68.61,89.78
Street Jazz,129,75,75,75,83,118,58.14,58.14,58.14,64.34,91.47
Ballet Jazz,136,96,81,88,87,125,70.59,59.56,64.71,63.97,91.91
