Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,19,99,19.19,Break,16,99,16.16
House,71,136,52.21,House,86,136,63.24
Ballet Jazz,20,136,14.71,Ballet Jazz,2,136,1.47
Street Jazz,17,129,13.18,Street Jazz,7,129,5.43
Krump,29,137,21.17,Krump,26,137,18.98
LA style Hip-hop,18,141,12.77,LA style Hip-hop,19,141,13.48
Lock,22,141,15.6,Lock,12,141,8.51
Middle Hip-hop,22,140,15.71,Middle Hip-hop,24,140,17.14
Pop,12,141,8.51,Pop,9,141,6.38
Waack,23,141,16.31,Waack,13,141,9.22
