genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,11,11,3,9,23,11.11,11.11,3.03,9.09,23.23
Pop,141,4,11,9,9,25,2.84,7.8,6.38,6.38,17.73
Lock,141,15,9,14,9,39,10.64,6.38,9.93,6.38,27.66
Middle Hip-hop,140,9,15,11,9,36,6.43,10.71,7.86,6.43,25.71
LA style Hip-hop,141,7,8,6,8,21,4.96,5.67,4.26,5.67,14.89
House,136,50,45,41,42,96,36.76,33.09,30.15,30.88,70.59
Waack,141,9,6,12,10,27,6.38,4.26,8.51,7.09,19.15
Krump,137,11,12,12,15,33,8.03,8.76,8.76,10.95,24.09
Street Jazz,129,5,5,11,8,24,3.88,3.88,8.53,6.2,18.6
Ballet Jazz,136,11,18,14,17,43,8.09,13.24,10.29,12.5,31.62
