genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,9,10,9,7,24,9.09,10.1,9.09,7.07,24.24
Pop,141,8,9,15,15,34,5.67,6.38,10.64,10.64,24.11
Lock,141,16,15,18,12,47,11.35,10.64,12.77,8.51,33.33
Middle Hip-hop,140,11,6,17,15,36,7.86,4.29,12.14,10.71,25.71
LA style Hip-hop,141,12,8,20,17,39,8.51,5.67,14.18,12.06,27.66
House,136,24,17,39,34,76,17.65,12.5,28.68,25.0,55.88
Waack,141,15,17,7,12,36,10.64,12.06,4.96,8.51,25.53
Krump,137,13,13,13,23,44,9.49,9.49,9.49,16.79,32.12
Street Jazz,129,12,10,16,15,36,9.3,7.75,12.4,11.63,27.91
Ballet Jazz,136,13,8,17,13,41,9.56,5.88,12.5,9.56,30.15
