Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,61,99,61.62,Break,30,99,30.3
House,118,136,86.76,House,105,136,77.21
Ballet Jazz,57,136,41.91,Ballet Jazz,24,136,17.65
Street Jazz,36,129,27.91,Street Jazz,24,129,18.6
Krump,60,137,43.8,Krump,30,137,21.9
LA style Hip-hop,73,141,51.77,LA style Hip-hop,42,141,29.79
Lock,45,141,31.91,Lock,21,141,14.89
Middle Hip-hop,93,140,66.43,Middle Hip-hop,60,140,42.86
Pop,73,141,51.77,Pop,33,141,23.4
Waack,45,141,31.91,Waack,22,141,15.6
