Agenre_name,Acombined_hits_1S,Atotal,Apercentage,Bgenre_name,Bcombined_hits_2S,Btotal,Bpercentage
Break,56,99,56.57,Break,30,99,30.3
House,115,136,84.56,House,105,136,77.21
Ballet Jazz,59,136,43.38,Ballet Jazz,24,136,17.65
Street Jazz,43,129,33.33,Street Jazz,24,129,18.6
Krump,61,137,44.53,Krump,30,137,21.9
LA style Hip-hop,76,141,53.9,LA style Hip-hop,42,141,29.79
Lock,46,141,32.62,Lock,21,141,14.89
Middle Hip-hop,94,140,67.14,Middle Hip-hop,60,140,42.86
Pop,77,141,54.61,Pop,33,141,23.4
Waack,45,141,31.91,Waack,22,141,15.6
