Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,40,99,40.4,Break,35,99,35.35
House,117,136,86.03,House,70,136,51.47
Ballet Jazz,33,136,24.26,Ballet Jazz,31,136,22.79
Street Jazz,27,129,20.93,Street Jazz,18,129,13.95
Krump,32,137,23.36,Krump,36,137,26.28
LA style Hip-hop,72,141,51.06,LA style Hip-hop,28,141,19.86
Lock,42,141,29.79,Lock,21,141,14.89
Middle Hip-hop,85,140,60.71,Middle Hip-hop,61,140,43.57
Pop,54,141,38.3,Pop,22,141,15.6
Waack,32,141,22.7,Waack,20,141,14.18
