genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage
Break,99,42,40,35,25,42.42,40.4,35.35,25.25
Pop,141,66,54,22,33,46.81,38.3,15.6,23.4
Lock,141,36,42,21,24,25.53,29.79,14.89,17.02
Middle Hip-hop,140,81,85,61,61,57.86,60.71,43.57,43.57
LA style Hip-hop,141,66,72,28,34,46.81,51.06,19.86,24.11
House,136,104,117,70,61,76.47,86.03,51.47,44.85
Waack,141,34,32,20,18,24.11,22.7,14.18,12.77
Krump,137,35,32,36,43,25.55,23.36,26.28,31.39
Street Jazz,129,25,27,18,25,19.38,20.93,13.95,19.38
Ballet Jazz,136,42,33,31,36,30.88,24.26,22.79,26.47
