genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,54,59,37,32,85,54.55,59.6,37.37,32.32,85.86
Pop,141,78,64,32,36,107,55.32,45.39,22.7,25.53,75.89
Lock,141,50,56,45,41,102,35.46,39.72,31.91,29.08,72.34
Middle Hip-hop,140,97,108,83,90,131,69.29,77.14,59.29,64.29,93.57
LA style Hip-hop,141,72,77,49,40,117,51.06,54.61,34.75,28.37,82.98
House,136,107,119,69,69,133,78.68,87.5,50.74,50.74,97.79
Waack,141,43,38,44,33,94,30.5,26.95,31.21,23.4,66.67
Krump,137,52,46,51,53,106,37.96,33.58,37.23,38.69,77.37
Street Jazz,129,26,23,27,33,75,20.16,17.83,20.93,25.58,58.14
Ballet Jazz,136,38,37,43,41,87,27.94,27.21,31.62,30.15,63.97
