genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,43,48,21,30,73,43.43,48.48,21.21,30.3,73.74
Pop,141,58,43,20,15,80,41.13,30.5,14.18,10.64,56.74
Lock,141,29,36,16,19,63,20.57,25.53,11.35,13.48,44.68
Middle Hip-hop,140,78,77,35,34,102,55.71,55.0,25.0,24.29,72.86
LA style Hip-hop,141,52,60,32,34,90,36.88,42.55,22.7,24.11,63.83
House,136,124,122,54,42,134,91.18,89.71,39.71,30.88,98.53
Waack,141,28,30,15,15,58,19.86,21.28,10.64,10.64,41.13
Krump,137,46,51,39,36,85,33.58,37.23,28.47,26.28,62.04
Street Jazz,129,21,25,15,21,57,16.28,19.38,11.63,16.28,44.19
Ballet Jazz,136,34,33,25,30,71,25.0,24.26,18.38,22.06,52.21
