Agenre_name,Ahand_hits_1S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_1S,Btotal,Bpercentage
Break,29,99,29.29,Break,31,99,31.31
House,93,136,68.38,House,86,136,63.24
Ballet Jazz,40,136,29.41,Ballet Jazz,34,136,25.0
Street Jazz,29,129,22.48,Street Jazz,27,129,20.93
Krump,45,137,32.85,Krump,44,137,32.12
LA style Hip-hop,31,141,21.99,LA style Hip-hop,41,141,29.08
Lock,37,141,26.24,Lock,49,141,34.75
Middle Hip-hop,52,140,37.14,Middle Hip-hop,43,140,30.71
Pop,31,141,21.99,Pop,33,141,23.4
Waack,35,141,24.82,Waack,29,141,20.57
