genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,32,31,33,29,75,32.32,31.31,33.33,29.29,75.76
Pop,141,24,20,17,19,66,17.02,14.18,12.06,13.48,46.81
Lock,141,45,39,39,31,95,31.91,27.66,27.66,21.99,67.38
Middle Hip-hop,140,48,45,38,42,97,34.29,32.14,27.14,30.0,69.29
LA style Hip-hop,141,30,27,32,27,78,21.28,19.15,22.7,19.15,55.32
House,136,64,70,70,59,115,47.06,51.47,51.47,43.38,84.56
Waack,141,34,34,23,32,88,24.11,24.11,16.31,22.7,62.41
Krump,137,47,44,32,38,91,34.31,32.12,23.36,27.74,66.42
Street Jazz,129,20,18,28,18,62,15.5,13.95,21.71,13.95,48.06
Ballet Jazz,136,25,27,26,33,78,18.38,19.85,19.12,24.26,57.35
