genre,total,left_hand_count,right_hand_count,left_foot_count,right_foot_count,Combined_count,left_hand_percentage,right_hand_percentage,left_foot_percentage,right_foot_percentage,Combined_percentage
Break,99,27,26,25,26,56,27.27,26.26,25.25,26.26,56.57
Pop,141,24,17,24,23,53,17.02,12.06,17.02,16.31,37.59
Lock,141,37,37,35,36,87,26.24,26.24,24.82,25.53,61.7
Middle Hip-hop,140,52,35,26,39,92,37.14,25.0,18.57,27.86,65.71
LA style Hip-hop,141,28,32,28,35,74,19.86,22.7,19.86,24.82,52.48
House,136,90,86,80,58,126,66.18,63.24,58.82,42.65,92.65
Waack,141,27,38,31,33,75,19.15,26.95,21.99,23.4,53.19
Krump,137,37,40,41,34,84,27.01,29.2,29.93,24.82,61.31
Street Jazz,129,33,24,33,31,70,25.58,18.6,25.58,24.03,54.26
Ballet Jazz,136,41,35,39,39,88,30.15,25.74,28.68,28.68,64.71
