genre,Lhand-Rhand (Hands),Lfoot-Rfoot (Feet),Lhand-Lfoot (Left Side),Rhand-Rfoot (Right Side),Lhand-Rfoot (Diagonal),Rhand-Lfoot (Diagonal)
Break,32.43,44.44,40.74,32.43,29.63,35.14
Pop,27.59,39.39,33.33,15.15,24.24,21.21
Lock,39.13,36.36,25.0,41.3,28.95,50.0
Middle Hip-hop,45.0,38.78,36.73,30.43,39.13,28.57
LA style Hip-hop,41.46,38.24,25.81,34.15,29.41,21.95
House,43.86,58.21,38.81,50.75,44.78,38.81
Waack,39.47,25.64,34.21,38.46,35.9,30.56
Krump,44.0,43.59,30.0,42.86,40.0,35.71
Street Jazz,40.0,48.57,33.33,37.14,28.57,48.48
Ballet Jazz,50.0,27.5,42.11,40.0,27.5,35.0
