Agenre_name,Ahand_hits_2S,Atotal,Apercentage,Bgenre_name,Bfoot_hits_2S,Btotal,Bpercentage
Break,36,99,36.36,Break,33,99,33.33
House,120,136,88.24,House,80,136,58.82
Ballet Jazz,42,136,30.88,Ballet Jazz,38,136,27.94
Street Jazz,41,129,31.78,Street Jazz,24,129,18.6
Krump,37,137,27.01,Krump,39,137,28.47
LA style Hip-hop,61,141,43.26,LA style Hip-hop,43,141,30.5
Lock,34,141,24.11,Lock,31,141,21.99
Middle Hip-hop,68,140,48.57,Middle Hip-hop,55,140,39.29
Pop,58,141,41.13,Pop,34,141,24.11
Waack,42,141,29.79,Waack,41,141,29.08
